Running compare_preferences with the following options:
Using distance function Jensen-Shannon
Using sites [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498]
Running in output directory /fh/fast/bloom_j/grp/mapmuts/examples/2015_NP_homolog_comparison/compare_prefs_output/
Performing comparisons between the following pairs of groups:

Comparison #1:
Comparing Aichi/1968 previous study vs Aichi/1968 current study
Preference files for Aichi/1968 previous study: ['Aichi68A_replicate_1_prefs.txt', 'Aichi68A_replicate_2_prefs.txt', 'Aichi68A_replicate_3_prefs.txt', 'Aichi68A_replicate_4_prefs.txt', 'Aichi68B_replicate_1_prefs.txt', 'Aichi68B_replicate_2_prefs.txt', 'Aichi68B_replicate_3_prefs.txt', 'Aichi68B_replicate_4_prefs.txt']
Preference files for Aichi/1968 current study: ['Aichi68C_replicate_1_prefs.txt', 'Aichi68C_replicate_2_prefs.txt']
----------------

Comparison #2:
Comparing Aichi/1968 vs PR/1934
Preference files for Aichi/1968: ['Aichi68A_replicate_1_prefs.txt', 'Aichi68A_replicate_2_prefs.txt', 'Aichi68A_replicate_3_prefs.txt', 'Aichi68A_replicate_4_prefs.txt', 'Aichi68B_replicate_1_prefs.txt', 'Aichi68B_replicate_2_prefs.txt', 'Aichi68B_replicate_3_prefs.txt', 'Aichi68B_replicate_4_prefs.txt', 'Aichi68C_replicate_1_prefs.txt', 'Aichi68C_replicate_2_prefs.txt']
Preference files for PR/1934: ['PR8_replicate_1_prefs.txt', 'PR8_replicate_2_prefs.txt', 'PR8_replicate_3_prefs.txt']
----------------

Comparison #3:
Comparing Aichi/1968 vs HA
Preference files for Aichi/1968: ['Aichi68A_replicate_1_prefs.txt_stripped', 'Aichi68A_replicate_2_prefs.txt_stripped', 'Aichi68A_replicate_3_prefs.txt_stripped', 'Aichi68A_replicate_4_prefs.txt_stripped', 'Aichi68B_replicate_1_prefs.txt_stripped', 'Aichi68B_replicate_2_prefs.txt_stripped', 'Aichi68B_replicate_3_prefs.txt_stripped', 'Aichi68B_replicate_4_prefs.txt_stripped', 'Aichi68C_replicate_1_prefs.txt_stripped', 'Aichi68C_replicate_2_prefs.txt_stripped']
Preference files for HA: ['WSN_HA_rep1_prefs.txt_stripped', 'WSN_HA_rep2_prefs.txt_stripped', 'WSN_HA_rep3_prefs.txt_stripped']
----------------

Beginning comparision: Aichi/1968 previous study vs Aichi/1968 current study
Simulating dataPerforming 1000 simulated experiments
Average pairwise Pearson's R in group Aichi/1968 previous study = 0.501312
Average pairwise Pearson's R in group Aichi/1968 current study = 0.736395
Searching for a scaling parameter for the Dirichlet that results in data with an average pairwise Pearson's R within 0.010000 of the actual data
Found r_diff of 0.307614 for scaling parameter of 1.000000.
Found r_diff of 0.307637 for scaling parameter of 1.020000.
Found r_diff of 0.294848 for scaling parameter of 1.040000.
Found r_diff of 0.302414 for scaling parameter of 1.060000.
Found r_diff of 0.301497 for scaling parameter of 1.080000.
Found r_diff of 0.296899 for scaling parameter of 1.100000.
Found r_diff of 0.297415 for scaling parameter of 1.120000.
Found r_diff of 0.290208 for scaling parameter of 1.140000.
Found r_diff of 0.286682 for scaling parameter of 1.160000.
Found r_diff of 0.294984 for scaling parameter of 1.180000.
Found r_diff of 0.279700 for scaling parameter of 1.200000.
Found r_diff of 0.294820 for scaling parameter of 1.220000.
Found r_diff of 0.284501 for scaling parameter of 1.240000.
Found r_diff of 0.285129 for scaling parameter of 1.260000.
Found r_diff of 0.278668 for scaling parameter of 1.280000.
Found r_diff of 0.280383 for scaling parameter of 1.300000.
Found r_diff of 0.279275 for scaling parameter of 1.320000.
Found r_diff of 0.272040 for scaling parameter of 1.340000.
Found r_diff of 0.268150 for scaling parameter of 1.360000.
Found r_diff of 0.263285 for scaling parameter of 1.380000.
Found r_diff of 0.258777 for scaling parameter of 1.400000.
Found r_diff of 0.268641 for scaling parameter of 1.420000.
Found r_diff of 0.259909 for scaling parameter of 1.440000.
Found r_diff of 0.266184 for scaling parameter of 1.460000.
Found r_diff of 0.264900 for scaling parameter of 1.480000.
Found r_diff of 0.275018 for scaling parameter of 1.500000.
Found r_diff of 0.267382 for scaling parameter of 1.520000.
Found r_diff of 0.263818 for scaling parameter of 1.540000.
Found r_diff of 0.249944 for scaling parameter of 1.560000.
Found r_diff of 0.262695 for scaling parameter of 1.580000.
Found r_diff of 0.258846 for scaling parameter of 1.600000.
Found r_diff of 0.250231 for scaling parameter of 1.620000.
Found r_diff of 0.251137 for scaling parameter of 1.640000.
Found r_diff of 0.256055 for scaling parameter of 1.660000.
Found r_diff of 0.250779 for scaling parameter of 1.680000.
Found r_diff of 0.254208 for scaling parameter of 1.700000.
Found r_diff of 0.249424 for scaling parameter of 1.720000.
Found r_diff of 0.255198 for scaling parameter of 1.740000.
Found r_diff of 0.245520 for scaling parameter of 1.760000.
Found r_diff of 0.241317 for scaling parameter of 1.780000.
Found r_diff of 0.239998 for scaling parameter of 1.800000.
Found r_diff of 0.229276 for scaling parameter of 1.820000.
Found r_diff of 0.236018 for scaling parameter of 1.840000.
Found r_diff of 0.238114 for scaling parameter of 1.860000.
Found r_diff of 0.236161 for scaling parameter of 1.880000.
Found r_diff of 0.239605 for scaling parameter of 1.900000.
Found r_diff of 0.233546 for scaling parameter of 1.920000.
Found r_diff of 0.236520 for scaling parameter of 1.940000.
Found r_diff of 0.236895 for scaling parameter of 1.960000.
Found r_diff of 0.230359 for scaling parameter of 1.980000.
Found r_diff of 0.228252 for scaling parameter of 2.000000.
Found r_diff of 0.223758 for scaling parameter of 2.020000.
Found r_diff of 0.222266 for scaling parameter of 2.040000.
Found r_diff of 0.225666 for scaling parameter of 2.060000.
Found r_diff of 0.220472 for scaling parameter of 2.080000.
Found r_diff of 0.228921 for scaling parameter of 2.100000.
Found r_diff of 0.233496 for scaling parameter of 2.120000.
Found r_diff of 0.215261 for scaling parameter of 2.140000.
Found r_diff of 0.209911 for scaling parameter of 2.160000.
Found r_diff of 0.221235 for scaling parameter of 2.180000.
Found r_diff of 0.219538 for scaling parameter of 2.200000.
Found r_diff of 0.218639 for scaling parameter of 2.220000.
Found r_diff of 0.207901 for scaling parameter of 2.240000.
Found r_diff of 0.203312 for scaling parameter of 2.260000.
Found r_diff of 0.207823 for scaling parameter of 2.280000.
Found r_diff of 0.213596 for scaling parameter of 2.300000.
Found r_diff of 0.209603 for scaling parameter of 2.320000.
Found r_diff of 0.207836 for scaling parameter of 2.340000.
Found r_diff of 0.214445 for scaling parameter of 2.360000.
Found r_diff of 0.206101 for scaling parameter of 2.380000.
Found r_diff of 0.193490 for scaling parameter of 2.400000.
Found r_diff of 0.205412 for scaling parameter of 2.420000.
Found r_diff of 0.196393 for scaling parameter of 2.440000.
Found r_diff of 0.186946 for scaling parameter of 2.460000.
Found r_diff of 0.196416 for scaling parameter of 2.480000.
Found r_diff of 0.198235 for scaling parameter of 2.500000.
Found r_diff of 0.196601 for scaling parameter of 2.520000.
Found r_diff of 0.185644 for scaling parameter of 2.540000.
Found r_diff of 0.201369 for scaling parameter of 2.560000.
Found r_diff of 0.199598 for scaling parameter of 2.580000.
Found r_diff of 0.195777 for scaling parameter of 2.600000.
Found r_diff of 0.197517 for scaling parameter of 2.620000.
Found r_diff of 0.185921 for scaling parameter of 2.640000.
Found r_diff of 0.188609 for scaling parameter of 2.660000.
Found r_diff of 0.192675 for scaling parameter of 2.680000.
Found r_diff of 0.183766 for scaling parameter of 2.700000.
Found r_diff of 0.187088 for scaling parameter of 2.720000.
Found r_diff of 0.179798 for scaling parameter of 2.740000.
Found r_diff of 0.182629 for scaling parameter of 2.760000.
