Sample	Sample	R
PR8-1	PR8-1	1.000000
PR8-1	PR8-2	0.633192
PR8-1	PR8-3	0.559512
PR8-1	Aichi68-A1	0.529511
PR8-1	Aichi68-A2	0.523084
PR8-1	Aichi68-A3	0.485338
PR8-1	Aichi68-A4	0.440460
PR8-1	Aichi68-B1	0.480539
PR8-1	Aichi68-B2	0.475462
PR8-1	Aichi68-B3	0.519720
PR8-1	Aichi68-B4	0.501804
PR8-1	Aichi68-C1	0.582300
PR8-1	Aichi68-C2	0.566582
PR8-1	WSN-HA-1	0.008866
PR8-1	WSN-HA-2	0.005162
PR8-1	WSN-HA-3	0.009539
PR8-2	PR8-1	0.633192
PR8-2	PR8-2	1.000000
PR8-2	PR8-3	0.590066
PR8-2	Aichi68-A1	0.528789
PR8-2	Aichi68-A2	0.529331
PR8-2	Aichi68-A3	0.504705
PR8-2	Aichi68-A4	0.442681
PR8-2	Aichi68-B1	0.488270
PR8-2	Aichi68-B2	0.463734
PR8-2	Aichi68-B3	0.514685
PR8-2	Aichi68-B4	0.497055
PR8-2	Aichi68-C1	0.593238
PR8-2	Aichi68-C2	0.581040
PR8-2	WSN-HA-1	-0.001771
PR8-2	WSN-HA-2	0.000943
PR8-2	WSN-HA-3	0.010679
PR8-3	PR8-1	0.559512
PR8-3	PR8-2	0.590066
PR8-3	PR8-3	1.000000
PR8-3	Aichi68-A1	0.488050
PR8-3	Aichi68-A2	0.499247
PR8-3	Aichi68-A3	0.473071
PR8-3	Aichi68-A4	0.438632
PR8-3	Aichi68-B1	0.448326
PR8-3	Aichi68-B2	0.432851
PR8-3	Aichi68-B3	0.501117
PR8-3	Aichi68-B4	0.479696
PR8-3	Aichi68-C1	0.562908
PR8-3	Aichi68-C2	0.563923
PR8-3	WSN-HA-1	0.000735
PR8-3	WSN-HA-2	0.002489
PR8-3	WSN-HA-3	0.005659
Aichi68-A1	PR8-1	0.529511
Aichi68-A1	PR8-2	0.528789
Aichi68-A1	PR8-3	0.488050
Aichi68-A1	Aichi68-A1	1.000000
Aichi68-A1	Aichi68-A2	0.586111
Aichi68-A1	Aichi68-A3	0.521503
Aichi68-A1	Aichi68-A4	0.482508
Aichi68-A1	Aichi68-B1	0.556451
Aichi68-A1	Aichi68-B2	0.510449
Aichi68-A1	Aichi68-B3	0.534337
Aichi68-A1	Aichi68-B4	0.531501
Aichi68-A1	Aichi68-C1	0.619810
Aichi68-A1	Aichi68-C2	0.606235
Aichi68-A1	WSN-HA-1	0.008428
Aichi68-A1	WSN-HA-2	0.002013
Aichi68-A1	WSN-HA-3	0.007488
Aichi68-A2	PR8-1	0.523084
Aichi68-A2	PR8-2	0.529331
Aichi68-A2	PR8-3	0.499247
Aichi68-A2	Aichi68-A1	0.586111
Aichi68-A2	Aichi68-A2	1.000000
Aichi68-A2	Aichi68-A3	0.506313
Aichi68-A2	Aichi68-A4	0.483817
Aichi68-A2	Aichi68-B1	0.532875
Aichi68-A2	Aichi68-B2	0.536310
Aichi68-A2	Aichi68-B3	0.523463
Aichi68-A2	Aichi68-B4	0.517250
Aichi68-A2	Aichi68-C1	0.647628
Aichi68-A2	Aichi68-C2	0.637231
Aichi68-A2	WSN-HA-1	0.013455
Aichi68-A2	WSN-HA-2	0.015433
Aichi68-A2	WSN-HA-3	0.018111
Aichi68-A3	PR8-1	0.485338
Aichi68-A3	PR8-2	0.504705
Aichi68-A3	PR8-3	0.473071
Aichi68-A3	Aichi68-A1	0.521503
Aichi68-A3	Aichi68-A2	0.506313
Aichi68-A3	Aichi68-A3	1.000000
Aichi68-A3	Aichi68-A4	0.463360
Aichi68-A3	Aichi68-B1	0.469142
Aichi68-A3	Aichi68-B2	0.453219
Aichi68-A3	Aichi68-B3	0.505881
Aichi68-A3	Aichi68-B4	0.499776
Aichi68-A3	Aichi68-C1	0.573325
Aichi68-A3	Aichi68-C2	0.573825
Aichi68-A3	WSN-HA-1	0.013461
Aichi68-A3	WSN-HA-2	0.011993
Aichi68-A3	WSN-HA-3	0.027254
Aichi68-A4	PR8-1	0.440460
Aichi68-A4	PR8-2	0.442681
Aichi68-A4	PR8-3	0.438632
Aichi68-A4	Aichi68-A1	0.482508
Aichi68-A4	Aichi68-A2	0.483817
Aichi68-A4	Aichi68-A3	0.463360
Aichi68-A4	Aichi68-A4	1.000000
Aichi68-A4	Aichi68-B1	0.436174
Aichi68-A4	Aichi68-B2	0.418265
Aichi68-A4	Aichi68-B3	0.457825
Aichi68-A4	Aichi68-B4	0.492915
Aichi68-A4	Aichi68-C1	0.544625
Aichi68-A4	Aichi68-C2	0.523815
Aichi68-A4	WSN-HA-1	0.001805
Aichi68-A4	WSN-HA-2	-0.001675
Aichi68-A4	WSN-HA-3	0.002151
Aichi68-B1	PR8-1	0.480539
Aichi68-B1	PR8-2	0.488270
Aichi68-B1	PR8-3	0.448326
Aichi68-B1	Aichi68-A1	0.556451
Aichi68-B1	Aichi68-A2	0.532875
Aichi68-B1	Aichi68-A3	0.469142
Aichi68-B1	Aichi68-A4	0.436174
Aichi68-B1	Aichi68-B1	1.000000
Aichi68-B1	Aichi68-B2	0.485420
Aichi68-B1	Aichi68-B3	0.497836
Aichi68-B1	Aichi68-B4	0.500473
Aichi68-B1	Aichi68-C1	0.566906
Aichi68-B1	Aichi68-C2	0.567877
Aichi68-B1	WSN-HA-1	0.011538
Aichi68-B1	WSN-HA-2	-0.003819
Aichi68-B1	WSN-HA-3	0.012727
Aichi68-B2	PR8-1	0.475462
Aichi68-B2	PR8-2	0.463734
Aichi68-B2	PR8-3	0.432851
Aichi68-B2	Aichi68-A1	0.510449
Aichi68-B2	Aichi68-A2	0.536310
Aichi68-B2	Aichi68-A3	0.453219
Aichi68-B2	Aichi68-A4	0.418265
Aichi68-B2	Aichi68-B1	0.485420
Aichi68-B2	Aichi68-B2	1.000000
Aichi68-B2	Aichi68-B3	0.501005
Aichi68-B2	Aichi68-B4	0.487200
Aichi68-B2	Aichi68-C1	0.557614
Aichi68-B2	Aichi68-C2	0.535657
Aichi68-B2	WSN-HA-1	0.010024
Aichi68-B2	WSN-HA-2	0.012006
Aichi68-B2	WSN-HA-3	0.013164
Aichi68-B3	PR8-1	0.519720
Aichi68-B3	PR8-2	0.514685
Aichi68-B3	PR8-3	0.501117
Aichi68-B3	Aichi68-A1	0.534337
Aichi68-B3	Aichi68-A2	0.523463
Aichi68-B3	Aichi68-A3	0.505881
Aichi68-B3	Aichi68-A4	0.457825
Aichi68-B3	Aichi68-B1	0.497836
Aichi68-B3	Aichi68-B2	0.501005
Aichi68-B3	Aichi68-B3	1.000000
Aichi68-B3	Aichi68-B4	0.545363
Aichi68-B3	Aichi68-C1	0.564727
Aichi68-B3	Aichi68-C2	0.575432
Aichi68-B3	WSN-HA-1	0.016216
Aichi68-B3	WSN-HA-2	0.014400
Aichi68-B3	WSN-HA-3	0.022180
Aichi68-B4	PR8-1	0.501804
Aichi68-B4	PR8-2	0.497055
Aichi68-B4	PR8-3	0.479696
Aichi68-B4	Aichi68-A1	0.531501
Aichi68-B4	Aichi68-A2	0.517250
Aichi68-B4	Aichi68-A3	0.499776
Aichi68-B4	Aichi68-A4	0.492915
Aichi68-B4	Aichi68-B1	0.500473
Aichi68-B4	Aichi68-B2	0.487200
Aichi68-B4	Aichi68-B3	0.545363
Aichi68-B4	Aichi68-B4	1.000000
Aichi68-B4	Aichi68-C1	0.567921
Aichi68-B4	Aichi68-C2	0.575945
Aichi68-B4	WSN-HA-1	0.030483
Aichi68-B4	WSN-HA-2	0.016589
Aichi68-B4	WSN-HA-3	0.028747
Aichi68-C1	PR8-1	0.582300
Aichi68-C1	PR8-2	0.593238
Aichi68-C1	PR8-3	0.562908
Aichi68-C1	Aichi68-A1	0.619810
Aichi68-C1	Aichi68-A2	0.647628
Aichi68-C1	Aichi68-A3	0.573325
Aichi68-C1	Aichi68-A4	0.544625
Aichi68-C1	Aichi68-B1	0.566906
Aichi68-C1	Aichi68-B2	0.557614
Aichi68-C1	Aichi68-B3	0.564727
Aichi68-C1	Aichi68-B4	0.567921
Aichi68-C1	Aichi68-C1	1.000000
Aichi68-C1	Aichi68-C2	0.736395
Aichi68-C1	WSN-HA-1	0.019337
Aichi68-C1	WSN-HA-2	0.001593
Aichi68-C1	WSN-HA-3	0.013276
Aichi68-C2	PR8-1	0.566582
Aichi68-C2	PR8-2	0.581040
Aichi68-C2	PR8-3	0.563923
Aichi68-C2	Aichi68-A1	0.606235
Aichi68-C2	Aichi68-A2	0.637231
Aichi68-C2	Aichi68-A3	0.573825
Aichi68-C2	Aichi68-A4	0.523815
Aichi68-C2	Aichi68-B1	0.567877
Aichi68-C2	Aichi68-B2	0.535657
Aichi68-C2	Aichi68-B3	0.575432
Aichi68-C2	Aichi68-B4	0.575945
Aichi68-C2	Aichi68-C1	0.736395
Aichi68-C2	Aichi68-C2	1.000000
Aichi68-C2	WSN-HA-1	0.021469
Aichi68-C2	WSN-HA-2	0.014835
Aichi68-C2	WSN-HA-3	0.020891
WSN-HA-1	PR8-1	0.008866
WSN-HA-1	PR8-2	-0.001771
WSN-HA-1	PR8-3	0.000735
WSN-HA-1	Aichi68-A1	0.008428
WSN-HA-1	Aichi68-A2	0.013455
WSN-HA-1	Aichi68-A3	0.013461
WSN-HA-1	Aichi68-A4	0.001805
WSN-HA-1	Aichi68-B1	0.011538
WSN-HA-1	Aichi68-B2	0.010024
WSN-HA-1	Aichi68-B3	0.016216
WSN-HA-1	Aichi68-B4	0.030483
WSN-HA-1	Aichi68-C1	0.019337
WSN-HA-1	Aichi68-C2	0.021469
WSN-HA-1	WSN-HA-1	1.000000
WSN-HA-1	WSN-HA-2	0.591000
WSN-HA-1	WSN-HA-3	0.639068
WSN-HA-2	PR8-1	0.005162
WSN-HA-2	PR8-2	0.000943
WSN-HA-2	PR8-3	0.002489
WSN-HA-2	Aichi68-A1	0.002013
WSN-HA-2	Aichi68-A2	0.015433
WSN-HA-2	Aichi68-A3	0.011993
WSN-HA-2	Aichi68-A4	-0.001675
WSN-HA-2	Aichi68-B1	-0.003819
WSN-HA-2	Aichi68-B2	0.012006
WSN-HA-2	Aichi68-B3	0.014400
WSN-HA-2	Aichi68-B4	0.016589
WSN-HA-2	Aichi68-C1	0.001593
WSN-HA-2	Aichi68-C2	0.014835
WSN-HA-2	WSN-HA-1	0.591000
WSN-HA-2	WSN-HA-2	1.000000
WSN-HA-2	WSN-HA-3	0.623986
WSN-HA-3	PR8-1	0.009539
WSN-HA-3	PR8-2	0.010679
WSN-HA-3	PR8-3	0.005659
WSN-HA-3	Aichi68-A1	0.007488
WSN-HA-3	Aichi68-A2	0.018111
WSN-HA-3	Aichi68-A3	0.027254
WSN-HA-3	Aichi68-A4	0.002151
WSN-HA-3	Aichi68-B1	0.012727
WSN-HA-3	Aichi68-B2	0.013164
WSN-HA-3	Aichi68-B3	0.022180
WSN-HA-3	Aichi68-B4	0.028747
WSN-HA-3	Aichi68-C1	0.013276
WSN-HA-3	Aichi68-C2	0.020891
WSN-HA-3	WSN-HA-1	0.639068
WSN-HA-3	WSN-HA-2	0.623986
WSN-HA-3	WSN-HA-3	1.000000
