Sample	Sample	R
PR8-1	PR8-1	1.000000
PR8-1	PR8-2	0.626782
PR8-1	PR8-3	0.533024
PR8-1	Aichi68-A1	0.514667
PR8-1	Aichi68-A2	0.516610
PR8-1	Aichi68-A3	0.450958
PR8-1	Aichi68-A4	0.398735
PR8-1	Aichi68-B1	0.518403
PR8-1	Aichi68-B2	0.466976
PR8-1	Aichi68-B3	0.501637
PR8-1	Aichi68-B4	0.420625
PR8-1	Aichi68-C1	0.624560
PR8-1	Aichi68-C2	0.553920
PR8-1	WSN-HA-1	0.067440
PR8-1	WSN-HA-2	0.028313
PR8-1	WSN-HA-3	0.046833
PR8-2	PR8-1	0.626782
PR8-2	PR8-2	1.000000
PR8-2	PR8-3	0.543051
PR8-2	Aichi68-A1	0.470877
PR8-2	Aichi68-A2	0.469321
PR8-2	Aichi68-A3	0.418884
PR8-2	Aichi68-A4	0.352894
PR8-2	Aichi68-B1	0.432333
PR8-2	Aichi68-B2	0.406971
PR8-2	Aichi68-B3	0.479171
PR8-2	Aichi68-B4	0.387164
PR8-2	Aichi68-C1	0.560130
PR8-2	Aichi68-C2	0.514111
PR8-2	WSN-HA-1	0.058344
PR8-2	WSN-HA-2	0.023629
PR8-2	WSN-HA-3	0.060986
PR8-3	PR8-1	0.533024
PR8-3	PR8-2	0.543051
PR8-3	PR8-3	1.000000
PR8-3	Aichi68-A1	0.389010
PR8-3	Aichi68-A2	0.393742
PR8-3	Aichi68-A3	0.379738
PR8-3	Aichi68-A4	0.342598
PR8-3	Aichi68-B1	0.359535
PR8-3	Aichi68-B2	0.321902
PR8-3	Aichi68-B3	0.439264
PR8-3	Aichi68-B4	0.332840
PR8-3	Aichi68-C1	0.512443
PR8-3	Aichi68-C2	0.459092
PR8-3	WSN-HA-1	0.045862
PR8-3	WSN-HA-2	0.011489
PR8-3	WSN-HA-3	0.040305
Aichi68-A1	PR8-1	0.514667
Aichi68-A1	PR8-2	0.470877
Aichi68-A1	PR8-3	0.389010
Aichi68-A1	Aichi68-A1	1.000000
Aichi68-A1	Aichi68-A2	0.513511
Aichi68-A1	Aichi68-A3	0.428750
Aichi68-A1	Aichi68-A4	0.353133
Aichi68-A1	Aichi68-B1	0.546200
Aichi68-A1	Aichi68-B2	0.476320
Aichi68-A1	Aichi68-B3	0.440024
Aichi68-A1	Aichi68-B4	0.454010
Aichi68-A1	Aichi68-C1	0.483927
Aichi68-A1	Aichi68-C2	0.515875
Aichi68-A1	WSN-HA-1	0.052900
Aichi68-A1	WSN-HA-2	0.028658
Aichi68-A1	WSN-HA-3	0.015996
Aichi68-A2	PR8-1	0.516610
Aichi68-A2	PR8-2	0.469321
Aichi68-A2	PR8-3	0.393742
Aichi68-A2	Aichi68-A1	0.513511
Aichi68-A2	Aichi68-A2	1.000000
Aichi68-A2	Aichi68-A3	0.401143
Aichi68-A2	Aichi68-A4	0.333300
Aichi68-A2	Aichi68-B1	0.449113
Aichi68-A2	Aichi68-B2	0.495678
Aichi68-A2	Aichi68-B3	0.461268
Aichi68-A2	Aichi68-B4	0.392606
Aichi68-A2	Aichi68-C1	0.540812
Aichi68-A2	Aichi68-C2	0.512837
Aichi68-A2	WSN-HA-1	0.048260
Aichi68-A2	WSN-HA-2	0.042097
Aichi68-A2	WSN-HA-3	0.055032
Aichi68-A3	PR8-1	0.450958
Aichi68-A3	PR8-2	0.418884
Aichi68-A3	PR8-3	0.379738
Aichi68-A3	Aichi68-A1	0.428750
Aichi68-A3	Aichi68-A2	0.401143
Aichi68-A3	Aichi68-A3	1.000000
Aichi68-A3	Aichi68-A4	0.426433
Aichi68-A3	Aichi68-B1	0.456539
Aichi68-A3	Aichi68-B2	0.378697
Aichi68-A3	Aichi68-B3	0.450437
Aichi68-A3	Aichi68-B4	0.404575
Aichi68-A3	Aichi68-C1	0.520267
Aichi68-A3	Aichi68-C2	0.431068
Aichi68-A3	WSN-HA-1	0.034045
Aichi68-A3	WSN-HA-2	0.029427
Aichi68-A3	WSN-HA-3	0.034136
Aichi68-A4	PR8-1	0.398735
Aichi68-A4	PR8-2	0.352894
Aichi68-A4	PR8-3	0.342598
Aichi68-A4	Aichi68-A1	0.353133
Aichi68-A4	Aichi68-A2	0.333300
Aichi68-A4	Aichi68-A3	0.426433
Aichi68-A4	Aichi68-A4	1.000000
Aichi68-A4	Aichi68-B1	0.368068
Aichi68-A4	Aichi68-B2	0.312974
Aichi68-A4	Aichi68-B3	0.360262
Aichi68-A4	Aichi68-B4	0.402707
Aichi68-A4	Aichi68-C1	0.430882
Aichi68-A4	Aichi68-C2	0.419789
Aichi68-A4	WSN-HA-1	0.016669
Aichi68-A4	WSN-HA-2	0.046057
Aichi68-A4	WSN-HA-3	0.030841
Aichi68-B1	PR8-1	0.518403
Aichi68-B1	PR8-2	0.432333
Aichi68-B1	PR8-3	0.359535
Aichi68-B1	Aichi68-A1	0.546200
Aichi68-B1	Aichi68-A2	0.449113
Aichi68-B1	Aichi68-A3	0.456539
Aichi68-B1	Aichi68-A4	0.368068
Aichi68-B1	Aichi68-B1	1.000000
Aichi68-B1	Aichi68-B2	0.408080
Aichi68-B1	Aichi68-B3	0.428554
Aichi68-B1	Aichi68-B4	0.448989
Aichi68-B1	Aichi68-C1	0.493157
Aichi68-B1	Aichi68-C2	0.526376
Aichi68-B1	WSN-HA-1	0.030611
Aichi68-B1	WSN-HA-2	0.016143
Aichi68-B1	WSN-HA-3	0.038463
Aichi68-B2	PR8-1	0.466976
Aichi68-B2	PR8-2	0.406971
Aichi68-B2	PR8-3	0.321902
Aichi68-B2	Aichi68-A1	0.476320
Aichi68-B2	Aichi68-A2	0.495678
Aichi68-B2	Aichi68-A3	0.378697
Aichi68-B2	Aichi68-A4	0.312974
Aichi68-B2	Aichi68-B1	0.408080
Aichi68-B2	Aichi68-B2	1.000000
Aichi68-B2	Aichi68-B3	0.412964
Aichi68-B2	Aichi68-B4	0.388183
Aichi68-B2	Aichi68-C1	0.509225
Aichi68-B2	Aichi68-C2	0.471375
Aichi68-B2	WSN-HA-1	0.034679
