Sample	Sample	R
PR8-1	PR8-1	1.000000
PR8-1	PR8-2	0.913655
PR8-1	PR8-3	0.749305
PR8-1	Aichi68-A1	0.767248
PR8-1	Aichi68-A2	0.859319
PR8-1	Aichi68-A3	0.802975
PR8-1	Aichi68-A4	0.685078
PR8-1	Aichi68-B1	0.832312
PR8-1	Aichi68-B2	0.861948
PR8-1	Aichi68-B3	0.854368
PR8-1	Aichi68-B4	0.790978
PR8-1	Aichi68-C1	0.844624
PR8-1	Aichi68-C2	0.827051
PR8-1	WSN-HA-1	-0.001184
PR8-1	WSN-HA-2	-0.032243
PR8-1	WSN-HA-3	0.003898
PR8-2	PR8-1	0.913655
PR8-2	PR8-2	1.000000
PR8-2	PR8-3	0.805543
PR8-2	Aichi68-A1	0.768786
PR8-2	Aichi68-A2	0.855044
PR8-2	Aichi68-A3	0.836910
PR8-2	Aichi68-A4	0.727944
PR8-2	Aichi68-B1	0.860951
PR8-2	Aichi68-B2	0.887182
PR8-2	Aichi68-B3	0.888696
PR8-2	Aichi68-B4	0.832255
PR8-2	Aichi68-C1	0.865910
PR8-2	Aichi68-C2	0.850837
PR8-2	WSN-HA-1	-0.047381
PR8-2	WSN-HA-2	-0.062614
PR8-2	WSN-HA-3	-0.029324
PR8-3	PR8-1	0.749305
PR8-3	PR8-2	0.805543
PR8-3	PR8-3	1.000000
PR8-3	Aichi68-A1	0.671265
PR8-3	Aichi68-A2	0.703964
PR8-3	Aichi68-A3	0.684312
PR8-3	Aichi68-A4	0.602549
PR8-3	Aichi68-B1	0.719337
PR8-3	Aichi68-B2	0.698723
PR8-3	Aichi68-B3	0.729445
PR8-3	Aichi68-B4	0.692861
PR8-3	Aichi68-C1	0.743637
PR8-3	Aichi68-C2	0.762989
PR8-3	WSN-HA-1	-0.021319
PR8-3	WSN-HA-2	-0.073197
PR8-3	WSN-HA-3	-0.046116
Aichi68-A1	PR8-1	0.767248
Aichi68-A1	PR8-2	0.768786
Aichi68-A1	PR8-3	0.671265
Aichi68-A1	Aichi68-A1	1.000000
Aichi68-A1	Aichi68-A2	0.774198
Aichi68-A1	Aichi68-A3	0.803556
Aichi68-A1	Aichi68-A4	0.628034
Aichi68-A1	Aichi68-B1	0.752380
Aichi68-A1	Aichi68-B2	0.812610
Aichi68-A1	Aichi68-B3	0.768897
Aichi68-A1	Aichi68-B4	0.678247
Aichi68-A1	Aichi68-C1	0.832417
Aichi68-A1	Aichi68-C2	0.837538
Aichi68-A1	WSN-HA-1	-0.019222
Aichi68-A1	WSN-HA-2	-0.061529
Aichi68-A1	WSN-HA-3	-0.046397
Aichi68-A2	PR8-1	0.859319
Aichi68-A2	PR8-2	0.855044
Aichi68-A2	PR8-3	0.703964
Aichi68-A2	Aichi68-A1	0.774198
Aichi68-A2	Aichi68-A2	1.000000
Aichi68-A2	Aichi68-A3	0.821369
Aichi68-A2	Aichi68-A4	0.731525
Aichi68-A2	Aichi68-B1	0.878025
Aichi68-A2	Aichi68-B2	0.842969
Aichi68-A2	Aichi68-B3	0.885514
Aichi68-A2	Aichi68-B4	0.843151
Aichi68-A2	Aichi68-C1	0.841333
Aichi68-A2	Aichi68-C2	0.842414
Aichi68-A2	WSN-HA-1	-0.053458
Aichi68-A2	WSN-HA-2	-0.074628
Aichi68-A2	WSN-HA-3	-0.051523
Aichi68-A3	PR8-1	0.802975
Aichi68-A3	PR8-2	0.836910
Aichi68-A3	PR8-3	0.684312
Aichi68-A3	Aichi68-A1	0.803556
Aichi68-A3	Aichi68-A2	0.821369
Aichi68-A3	Aichi68-A3	1.000000
Aichi68-A3	Aichi68-A4	0.665683
Aichi68-A3	Aichi68-B1	0.794008
Aichi68-A3	Aichi68-B2	0.842979
Aichi68-A3	Aichi68-B3	0.822537
Aichi68-A3	Aichi68-B4	0.744560
Aichi68-A3	Aichi68-C1	0.805048
Aichi68-A3	Aichi68-C2	0.787173
Aichi68-A3	WSN-HA-1	-0.045165
Aichi68-A3	WSN-HA-2	-0.058559
Aichi68-A3	WSN-HA-3	-0.051101
Aichi68-A4	PR8-1	0.685078
Aichi68-A4	PR8-2	0.727944
Aichi68-A4	PR8-3	0.602549
Aichi68-A4	Aichi68-A1	0.628034
Aichi68-A4	Aichi68-A2	0.731525
Aichi68-A4	Aichi68-A3	0.665683
Aichi68-A4	Aichi68-A4	1.000000
Aichi68-A4	Aichi68-B1	0.739991
Aichi68-A4	Aichi68-B2	0.698333
Aichi68-A4	Aichi68-B3	0.751097
Aichi68-A4	Aichi68-B4	0.738413
Aichi68-A4	Aichi68-C1	0.736425
Aichi68-A4	Aichi68-C2	0.710197
Aichi68-A4	WSN-HA-1	-0.015565
Aichi68-A4	WSN-HA-2	-0.061474
Aichi68-A4	WSN-HA-3	-0.031559
Aichi68-B1	PR8-1	0.832312
Aichi68-B1	PR8-2	0.860951
Aichi68-B1	PR8-3	0.719337
Aichi68-B1	Aichi68-A1	0.752380
Aichi68-B1	Aichi68-A2	0.878025
Aichi68-B1	Aichi68-A3	0.794008
Aichi68-B1	Aichi68-A4	0.739991
Aichi68-B1	Aichi68-B1	1.000000
Aichi68-B1	Aichi68-B2	0.826729
Aichi68-B1	Aichi68-B3	0.915531
Aichi68-B1	Aichi68-B4	0.869815
Aichi68-B1	Aichi68-C1	0.863196
Aichi68-B1	Aichi68-C2	0.864241
Aichi68-B1	WSN-HA-1	-0.059950
Aichi68-B1	WSN-HA-2	-0.054582
Aichi68-B1	WSN-HA-3	-0.046324
Aichi68-B2	PR8-1	0.861948
Aichi68-B2	PR8-2	0.887182
Aichi68-B2	PR8-3	0.698723
Aichi68-B2	Aichi68-A1	0.812610
Aichi68-B2	Aichi68-A2	0.842969
Aichi68-B2	Aichi68-A3	0.842979
Aichi68-B2	Aichi68-A4	0.698333
Aichi68-B2	Aichi68-B1	0.826729
