Sample	Sample	R
PR8-1	PR8-1	1.000000
PR8-1	PR8-2	0.300011
PR8-1	PR8-3	0.323425
PR8-1	Aichi68-A1	0.118946
PR8-1	Aichi68-A2	0.080211
PR8-1	Aichi68-A3	0.135161
PR8-1	Aichi68-A4	0.123584
PR8-1	Aichi68-B1	0.093393
PR8-1	Aichi68-B2	0.226911
PR8-1	Aichi68-B3	0.106206
PR8-1	Aichi68-B4	0.183619
PR8-1	Aichi68-C1	0.160750
PR8-1	Aichi68-C2	0.140749
PR8-1	WSN-HA-1	0.001900
PR8-1	WSN-HA-2	0.046416
PR8-1	WSN-HA-3	0.030296
PR8-2	PR8-1	0.300011
PR8-2	PR8-2	1.000000
PR8-2	PR8-3	0.347143
PR8-2	Aichi68-A1	0.129387
PR8-2	Aichi68-A2	0.082993
PR8-2	Aichi68-A3	0.115360
PR8-2	Aichi68-A4	0.088236
PR8-2	Aichi68-B1	0.137418
PR8-2	Aichi68-B2	0.187965
PR8-2	Aichi68-B3	0.072135
PR8-2	Aichi68-B4	0.109255
PR8-2	Aichi68-C1	0.158499
PR8-2	Aichi68-C2	0.170431
PR8-2	WSN-HA-1	-0.032949
PR8-2	WSN-HA-2	-0.033411
PR8-2	WSN-HA-3	-0.004535
PR8-3	PR8-1	0.323425
PR8-3	PR8-2	0.347143
PR8-3	PR8-3	1.000000
PR8-3	Aichi68-A1	0.172152
PR8-3	Aichi68-A2	0.091593
PR8-3	Aichi68-A3	0.079623
PR8-3	Aichi68-A4	0.112899
PR8-3	Aichi68-B1	0.141009
PR8-3	Aichi68-B2	0.246974
PR8-3	Aichi68-B3	0.128537
PR8-3	Aichi68-B4	0.120193
PR8-3	Aichi68-C1	0.183579
PR8-3	Aichi68-C2	0.221024
PR8-3	WSN-HA-1	0.006323
PR8-3	WSN-HA-2	-0.009327
PR8-3	WSN-HA-3	0.042067
Aichi68-A1	PR8-1	0.118946
Aichi68-A1	PR8-2	0.129387
Aichi68-A1	PR8-3	0.172152
Aichi68-A1	Aichi68-A1	1.000000
Aichi68-A1	Aichi68-A2	0.453335
Aichi68-A1	Aichi68-A3	0.386734
Aichi68-A1	Aichi68-A4	0.359806
Aichi68-A1	Aichi68-B1	0.418902
Aichi68-A1	Aichi68-B2	0.450874
Aichi68-A1	Aichi68-B3	0.357888
Aichi68-A1	Aichi68-B4	0.316304
Aichi68-A1	Aichi68-C1	0.575272
Aichi68-A1	Aichi68-C2	0.484404
Aichi68-A1	WSN-HA-1	0.047239
Aichi68-A1	WSN-HA-2	-0.022458
Aichi68-A1	WSN-HA-3	0.007469
Aichi68-A2	PR8-1	0.080211
Aichi68-A2	PR8-2	0.082993
Aichi68-A2	PR8-3	0.091593
Aichi68-A2	Aichi68-A1	0.453335
Aichi68-A2	Aichi68-A2	1.000000
Aichi68-A2	Aichi68-A3	0.409322
Aichi68-A2	Aichi68-A4	0.336024
Aichi68-A2	Aichi68-B1	0.462401
Aichi68-A2	Aichi68-B2	0.364763
Aichi68-A2	Aichi68-B3	0.412572
Aichi68-A2	Aichi68-B4	0.260455
Aichi68-A2	Aichi68-C1	0.471812
Aichi68-A2	Aichi68-C2	0.564976
Aichi68-A2	WSN-HA-1	0.064789
Aichi68-A2	WSN-HA-2	-0.015359
Aichi68-A2	WSN-HA-3	0.024118
Aichi68-A3	PR8-1	0.135161
Aichi68-A3	PR8-2	0.115360
Aichi68-A3	PR8-3	0.079623
Aichi68-A3	Aichi68-A1	0.386734
Aichi68-A3	Aichi68-A2	0.409322
Aichi68-A3	Aichi68-A3	1.000000
Aichi68-A3	Aichi68-A4	0.284053
Aichi68-A3	Aichi68-B1	0.304161
Aichi68-A3	Aichi68-B2	0.382007
Aichi68-A3	Aichi68-B3	0.318728
Aichi68-A3	Aichi68-B4	0.263003
Aichi68-A3	Aichi68-C1	0.393847
Aichi68-A3	Aichi68-C2	0.395575
Aichi68-A3	WSN-HA-1	0.085828
Aichi68-A3	WSN-HA-2	0.034328
Aichi68-A3	WSN-HA-3	0.046364
Aichi68-A4	PR8-1	0.123584
Aichi68-A4	PR8-2	0.088236
Aichi68-A4	PR8-3	0.112899
Aichi68-A4	Aichi68-A1	0.359806
Aichi68-A4	Aichi68-A2	0.336024
Aichi68-A4	Aichi68-A3	0.284053
Aichi68-A4	Aichi68-A4	1.000000
Aichi68-A4	Aichi68-B1	0.459342
Aichi68-A4	Aichi68-B2	0.361823
Aichi68-A4	Aichi68-B3	0.325138
Aichi68-A4	Aichi68-B4	0.315624
Aichi68-A4	Aichi68-C1	0.499185
Aichi68-A4	Aichi68-C2	0.463264
Aichi68-A4	WSN-HA-1	0.085693
Aichi68-A4	WSN-HA-2	0.029426
Aichi68-A4	WSN-HA-3	0.001249
Aichi68-B1	PR8-1	0.093393
Aichi68-B1	PR8-2	0.137418
Aichi68-B1	PR8-3	0.141009
Aichi68-B1	Aichi68-A1	0.418902
Aichi68-B1	Aichi68-A2	0.462401
Aichi68-B1	Aichi68-A3	0.304161
Aichi68-B1	Aichi68-A4	0.459342
Aichi68-B1	Aichi68-B1	1.000000
Aichi68-B1	Aichi68-B2	0.376763
Aichi68-B1	Aichi68-B3	0.328280
Aichi68-B1	Aichi68-B4	0.278979
Aichi68-B1	Aichi68-C1	0.424016
Aichi68-B1	Aichi68-C2	0.528681
Aichi68-B1	WSN-HA-1	0.032347
Aichi68-B1	WSN-HA-2	0.019248
Aichi68-B1	WSN-HA-3	-0.001586
Aichi68-B2	PR8-1	0.226911
Aichi68-B2	PR8-2	0.187965
Aichi68-B2	PR8-3	0.246974
Aichi68-B2	Aichi68-A1	0.450874
Aichi68-B2	Aichi68-A2	0.364763
Aichi68-B2	Aichi68-A3	0.382007
Aichi68-B2	Aichi68-A4	0.361823
Aichi68-B2	Aichi68-B1	0.376763
Aichi68-B2	Aichi68-B2	1.000000
Aichi68-B2	Aichi68-B3	0.422401
Aichi68-B2	Aichi68-B4	0.364581
Aichi68-B2	Aichi68-C1	0.503429
Aichi68-B2	Aichi68-C2	0.483037
Aichi68-B2	WSN-HA-1	0.078249
Aichi68-B2	WSN-HA-2	0.052650
Aichi68-B2	WSN-HA-3	0.054585
Aichi68-B3	PR8-1	0.106206
Aichi68-B3	PR8-2	0.072135
Aichi68-B3	PR8-3	0.128537
Aichi68-B3	Aichi68-A1	0.357888
Aichi68-B3	Aichi68-A2	0.412572
Aichi68-B3	Aichi68-A3	0.318728
Aichi68-B3	Aichi68-A4	0.325138
Aichi68-B3	Aichi68-B1	0.328280
Aichi68-B3	Aichi68-B2	0.422401
Aichi68-B3	Aichi68-B3	1.000000
Aichi68-B3	Aichi68-B4	0.418958
Aichi68-B3	Aichi68-C1	0.397046
Aichi68-B3	Aichi68-C2	0.491420
Aichi68-B3	WSN-HA-1	0.062200
Aichi68-B3	WSN-HA-2	-0.032466
Aichi68-B3	WSN-HA-3	-0.000037
Aichi68-B4	PR8-1	0.183619
Aichi68-B4	PR8-2	0.109255
Aichi68-B4	PR8-3	0.120193
Aichi68-B4	Aichi68-A1	0.316304
Aichi68-B4	Aichi68-A2	0.260455
Aichi68-B4	Aichi68-A3	0.263003
Aichi68-B4	Aichi68-A4	0.315624
Aichi68-B4	Aichi68-B1	0.278979
Aichi68-B4	Aichi68-B2	0.364581
Aichi68-B4	Aichi68-B3	0.418958
Aichi68-B4	Aichi68-B4	1.000000
Aichi68-B4	Aichi68-C1	0.385729
Aichi68-B4	Aichi68-C2	0.384752
Aichi68-B4	WSN-HA-1	0.111689
Aichi68-B4	WSN-HA-2	0.035074
Aichi68-B4	WSN-HA-3	0.025626
Aichi68-C1	PR8-1	0.160750
Aichi68-C1	PR8-2	0.158499
Aichi68-C1	PR8-3	0.183579
Aichi68-C1	Aichi68-A1	0.575272
Aichi68-C1	Aichi68-A2	0.471812
Aichi68-C1	Aichi68-A3	0.393847
Aichi68-C1	Aichi68-A4	0.499185
Aichi68-C1	Aichi68-B1	0.424016
Aichi68-C1	Aichi68-B2	0.503429
Aichi68-C1	Aichi68-B3	0.397046
Aichi68-C1	Aichi68-B4	0.385729
Aichi68-C1	Aichi68-C1	1.000000
Aichi68-C1	Aichi68-C2	0.589823
Aichi68-C1	WSN-HA-1	0.114961
Aichi68-C1	WSN-HA-2	0.029835
Aichi68-C1	WSN-HA-3	0.055584
Aichi68-C2	PR8-1	0.140749
Aichi68-C2	PR8-2	0.170431
Aichi68-C2	PR8-3	0.221024
Aichi68-C2	Aichi68-A1	0.484404
Aichi68-C2	Aichi68-A2	0.564976
Aichi68-C2	Aichi68-A3	0.395575
Aichi68-C2	Aichi68-A4	0.463264
Aichi68-C2	Aichi68-B1	0.528681
Aichi68-C2	Aichi68-B2	0.483037
Aichi68-C2	Aichi68-B3	0.491420
Aichi68-C2	Aichi68-B4	0.384752
Aichi68-C2	Aichi68-C1	0.589823
Aichi68-C2	Aichi68-C2	1.000000
Aichi68-C2	WSN-HA-1	0.054979
Aichi68-C2	WSN-HA-2	-0.055604
Aichi68-C2	WSN-HA-3	-0.019939
WSN-HA-1	PR8-1	0.001900
WSN-HA-1	PR8-2	-0.032949
WSN-HA-1	PR8-3	0.006323
WSN-HA-1	Aichi68-A1	0.047239
WSN-HA-1	Aichi68-A2	0.064789
WSN-HA-1	Aichi68-A3	0.085828
WSN-HA-1	Aichi68-A4	0.085693
WSN-HA-1	Aichi68-B1	0.032347
WSN-HA-1	Aichi68-B2	0.078249
WSN-HA-1	Aichi68-B3	0.062200
WSN-HA-1	Aichi68-B4	0.111689
WSN-HA-1	Aichi68-C1	0.114961
WSN-HA-1	Aichi68-C2	0.054979
WSN-HA-1	WSN-HA-1	1.000000
WSN-HA-1	WSN-HA-2	0.622122
WSN-HA-1	WSN-HA-3	0.578962
WSN-HA-2	PR8-1	0.046416
WSN-HA-2	PR8-2	-0.033411
WSN-HA-2	PR8-3	-0.009327
WSN-HA-2	Aichi68-A1	-0.022458
WSN-HA-2	Aichi68-A2	-0.015359
WSN-HA-2	Aichi68-A3	0.034328
WSN-HA-2	Aichi68-A4	0.029426
WSN-HA-2	Aichi68-B1	0.019248
WSN-HA-2	Aichi68-B2	0.052650
WSN-HA-2	Aichi68-B3	-0.032466
WSN-HA-2	Aichi68-B4	0.035074
WSN-HA-2	Aichi68-C1	0.029835
WSN-HA-2	Aichi68-C2	-0.055604
WSN-HA-2	WSN-HA-1	0.622122
WSN-HA-2	WSN-HA-2	1.000000
WSN-HA-2	WSN-HA-3	0.562983
WSN-HA-3	PR8-1	0.030296
WSN-HA-3	PR8-2	-0.004535
WSN-HA-3	PR8-3	0.042067
WSN-HA-3	Aichi68-A1	0.007469
WSN-HA-3	Aichi68-A2	0.024118
WSN-HA-3	Aichi68-A3	0.046364
WSN-HA-3	Aichi68-A4	0.001249
WSN-HA-3	Aichi68-B1	-0.001586
WSN-HA-3	Aichi68-B2	0.054585
WSN-HA-3	Aichi68-B3	-0.000037
WSN-HA-3	Aichi68-B4	0.025626
WSN-HA-3	Aichi68-C1	0.055584
WSN-HA-3	Aichi68-C2	-0.019939
WSN-HA-3	WSN-HA-1	0.578962
WSN-HA-3	WSN-HA-2	0.562983
WSN-HA-3	WSN-HA-3	1.000000
