# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1510	0.9783	0.5756	0.1584
2	0.1372	0.9610	0.4445	0.1416
3	0.1319	0.9423	0.3741	0.1382
4	0.1279	0.9228	0.3311	0.1358
5	0.1239	0.9056	0.2994	0.1322
6	0.1209	0.8885	0.2775	0.1291
7	0.1188	0.8706	0.2601	0.1262
8	0.1169	0.8516	0.2451	0.1234
9	0.1155	0.8337	0.2339	0.1210
10	0.1145	0.8139	0.2248	0.1189
11	0.1133	0.7960	0.2159	0.1171
12	0.1120	0.7784	0.2084	0.1156
13	0.1108	0.7602	0.2014	0.1141
14	0.1096	0.7425	0.1945	0.1128
15	0.1085	0.7248	0.1886	0.1118
16	0.1077	0.7080	0.1830	0.1102
17	0.1065	0.6904	0.1787	0.1084
18	0.1055	0.6736	0.1734	0.1072
19	0.1041	0.6564	0.1691	0.1059
20	0.1032	0.6395	0.1653	0.1047
21	0.1018	0.6219	0.1613	0.1035
22	0.1010	0.6052	0.1575	0.1024
23	0.0996	0.5905	0.1540	0.1012
24	0.0984	0.5760	0.1509	0.1000
25	0.0971	0.5611	0.1477	0.0989
26	0.0955	0.5467	0.1447	0.0973
27	0.0942	0.5331	0.1413	0.0962
28	0.0930	0.5186	0.1387	0.0948
29	0.0918	0.5053	0.1365	0.0934
30	0.0903	0.4926	0.1339	0.0919
31	0.0889	0.4803	0.1316	0.0909
32	0.0878	0.4687	0.1287	0.0896
33	0.0866	0.4564	0.1265	0.0881
34	0.0850	0.4443	0.1242	0.0869
35	0.0839	0.4326	0.1216	0.0854
36	0.0827	0.4214	0.1192	0.0843
37	0.0815	0.4111	0.1166	0.0829
38	0.0803	0.4011	0.1140	0.0819
39	0.0794	0.3908	0.1125	0.0809
40	0.0783	0.3821	0.1102	0.0798
41	0.0774	0.3734	0.1087	0.0785
42	0.0764	0.3641	0.1067	0.0774
43	0.0751	0.3555	0.1052	0.0765
44	0.0741	0.3467	0.1034	0.0755
45	0.0729	0.3383	0.1018	0.0745
46	0.0718	0.3305	0.1002	0.0736
47	0.0709	0.3224	0.0987	0.0728
48	0.0702	0.3154	0.0969	0.0719
49	0.0690	0.3075	0.0955	0.0710
50	0.0680	0.2997	0.0943	0.0699
