# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 289 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0173	0.9550	0.7301	0.0277
2	0.0000	0.9343	0.6090	0.0000
3	0.0000	0.9239	0.5467	0.0000
4	0.0000	0.8962	0.4913	0.0000
5	0.0000	0.8824	0.4429	0.0000
6	0.0000	0.8754	0.4221	0.0000
7	0.0000	0.8547	0.3806	0.0000
8	0.0000	0.8374	0.3529	0.0000
9	0.0000	0.8235	0.3460	0.0000
10	0.0000	0.7958	0.3287	0.0000
11	0.0000	0.7785	0.3114	0.0000
12	0.0000	0.7543	0.2976	0.0000
13	0.0000	0.7128	0.2803	0.0000
14	0.0000	0.6817	0.2699	0.0000
15	0.0000	0.6678	0.2630	0.0000
16	0.0000	0.6574	0.2526	0.0000
17	0.0000	0.6367	0.2491	0.0000
18	0.0000	0.6125	0.2491	0.0000
19	0.0000	0.5952	0.2422	0.0000
20	0.0000	0.5848	0.2284	0.0000
21	0.0000	0.5709	0.2215	0.0000
22	0.0000	0.5606	0.2111	0.0000
23	0.0000	0.5502	0.2007	0.0000
24	0.0000	0.5294	0.1938	0.0000
25	0.0000	0.5121	0.1903	0.0000
26	0.0000	0.4913	0.1869	0.0000
27	0.0000	0.4775	0.1834	0.0000
28	0.0000	0.4429	0.1765	0.0000
29	0.0000	0.4360	0.1730	0.0000
30	0.0000	0.4083	0.1730	0.0000
31	0.0000	0.3979	0.1696	0.0000
32	0.0000	0.3945	0.1592	0.0000
33	0.0000	0.3737	0.1522	0.0000
34	0.0000	0.3633	0.1522	0.0000
35	0.0000	0.3599	0.1453	0.0000
36	0.0000	0.3356	0.1349	0.0000
37	0.0000	0.3183	0.1280	0.0000
38	0.0000	0.3149	0.1280	0.0000
39	0.0000	0.3080	0.1246	0.0000
40	0.0000	0.3045	0.1211	0.0000
41	0.0000	0.2837	0.1176	0.0000
42	0.0000	0.2768	0.1176	0.0000
43	0.0000	0.2734	0.1176	0.0000
44	0.0000	0.2734	0.1142	0.0000
45	0.0000	0.2664	0.1107	0.0000
46	0.0000	0.2630	0.1107	0.0000
47	0.0000	0.2422	0.1107	0.0000
48	0.0000	0.2284	0.1038	0.0000
49	0.0000	0.2215	0.1038	0.0000
50	0.0000	0.2042	0.1038	0.0000
