# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0170	0.9800	0.6341	0.0264
2	0.0028	0.9653	0.4976	0.0039
3	0.0011	0.9520	0.4117	0.0015
4	0.0004	0.9376	0.3547	0.0010
5	0.0003	0.9213	0.3113	0.0005
6	0.0002	0.9061	0.2776	0.0004
7	0.0001	0.8913	0.2515	0.0002
8	0.0001	0.8761	0.2289	0.0001
9	0.0000	0.8612	0.2108	0.0001
10	0.0000	0.8452	0.1964	0.0001
11	0.0000	0.8288	0.1841	0.0000
12	0.0000	0.8138	0.1733	0.0000
13	0.0000	0.7979	0.1642	0.0000
14	0.0000	0.7806	0.1555	0.0000
15	0.0000	0.7653	0.1487	0.0000
16	0.0000	0.7487	0.1424	0.0000
17	0.0000	0.7338	0.1367	0.0000
18	0.0000	0.7185	0.1309	0.0000
19	0.0000	0.7029	0.1256	0.0000
20	0.0000	0.6894	0.1206	0.0000
21	0.0000	0.6733	0.1160	0.0000
22	0.0000	0.6579	0.1125	0.0000
23	0.0000	0.6423	0.1084	0.0000
24	0.0000	0.6285	0.1049	0.0000
25	0.0000	0.6145	0.1018	0.0000
26	0.0000	0.6006	0.0993	0.0000
27	0.0000	0.5871	0.0970	0.0000
28	0.0000	0.5720	0.0941	0.0000
29	0.0000	0.5589	0.0919	0.0000
30	0.0000	0.5466	0.0898	0.0000
31	0.0000	0.5335	0.0874	0.0000
32	0.0000	0.5205	0.0852	0.0000
33	0.0000	0.5088	0.0833	0.0000
34	0.0000	0.4971	0.0816	0.0000
35	0.0000	0.4841	0.0792	0.0000
36	0.0000	0.4727	0.0774	0.0000
37	0.0000	0.4600	0.0756	0.0000
38	0.0000	0.4497	0.0740	0.0000
39	0.0000	0.4395	0.0724	0.0000
40	0.0000	0.4288	0.0711	0.0000
41	0.0000	0.4180	0.0699	0.0000
42	0.0000	0.4074	0.0683	0.0000
43	0.0000	0.3975	0.0669	0.0000
44	0.0000	0.3870	0.0656	0.0000
45	0.0000	0.3767	0.0646	0.0000
46	0.0000	0.3663	0.0635	0.0000
47	0.0000	0.3567	0.0625	0.0000
48	0.0000	0.3470	0.0619	0.0000
49	0.0000	0.3391	0.0606	0.0000
50	0.0000	0.3307	0.0594	0.0000
