# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1261 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7684	0.9913	0.9556	0.7787
2	0.7526	0.9841	0.9405	0.7645
3	0.7439	0.9794	0.9255	0.7573
4	0.7256	0.9770	0.9128	0.7526
5	0.7074	0.9722	0.8993	0.7431
6	0.6963	0.9651	0.8890	0.7312
7	0.6836	0.9611	0.8866	0.7256
8	0.6780	0.9588	0.8810	0.7153
9	0.6653	0.9540	0.8747	0.7082
10	0.6534	0.9477	0.8684	0.6994
11	0.6455	0.9421	0.8604	0.6875
12	0.6384	0.9374	0.8549	0.6828
13	0.6312	0.9350	0.8485	0.6725
14	0.6281	0.9302	0.8422	0.6630
15	0.6201	0.9262	0.8374	0.6574
16	0.6162	0.9183	0.8295	0.6439
17	0.6130	0.9088	0.8216	0.6368
18	0.6075	0.9064	0.8160	0.6305
19	0.6051	0.9017	0.8121	0.6257
20	0.6003	0.8993	0.8073	0.6233
21	0.5956	0.8914	0.8033	0.6154
22	0.5932	0.8890	0.7978	0.6114
23	0.5892	0.8842	0.7906	0.6082
24	0.5845	0.8803	0.7851	0.6019
25	0.5821	0.8731	0.7780	0.5964
26	0.5789	0.8644	0.7740	0.5932
27	0.5773	0.8596	0.7708	0.5860
28	0.5749	0.8525	0.7684	0.5813
29	0.5734	0.8462	0.7637	0.5789
30	0.5710	0.8438	0.7613	0.5741
31	0.5686	0.8366	0.7542	0.5702
32	0.5615	0.8295	0.7510	0.5694
33	0.5599	0.8271	0.7486	0.5662
34	0.5591	0.8200	0.7470	0.5623
35	0.5567	0.8176	0.7454	0.5599
36	0.5527	0.8136	0.7431	0.5583
37	0.5464	0.8065	0.7407	0.5535
38	0.5408	0.8033	0.7343	0.5504
39	0.5369	0.7970	0.7335	0.5464
40	0.5337	0.7914	0.7288	0.5440
41	0.5297	0.7859	0.7240	0.5400
42	0.5282	0.7787	0.7209	0.5361
43	0.5226	0.7748	0.7193	0.5321
44	0.5163	0.7716	0.7137	0.5282
45	0.5107	0.7676	0.7113	0.5250
46	0.5059	0.7613	0.7066	0.5186
47	0.5004	0.7534	0.7034	0.5155
48	0.4972	0.7526	0.7018	0.5107
49	0.4933	0.7486	0.6971	0.5083
50	0.4901	0.7431	0.6955	0.5067
