# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 8129625 56988 0.007010
2 8129625 18866 0.002321
3 8129625 14649 0.001802
4 8129625 12230 0.001504
5 8129625 10556 0.001298
6 8129625 11063 0.001361
7 8129625 9938 0.001222
8 8129625 9023 0.001110
9 8129625 7646 0.000941
10 8129625 7284 0.000896
11 8129625 6375 0.000784
12 8129625 5119 0.000630
13 8129625 5801 0.000714
14 8129625 6603 0.000812
15 8129625 6642 0.000817
16 8129625 4854 0.000597
17 8129625 6323 0.000778
18 8129625 3756 0.000462
19 8129625 5303 0.000652
20 8129625 4252 0.000523
21 8129625 3961 0.000487
22 8129625 6802 0.000837
23 8129625 3267 0.000402
24 8129625 3659 0.000450
25 8129625 6577 0.000809
26 8129625 3479 0.000428
27 8129625 3108 0.000382
28 8129625 3359 0.000413
29 8129625 3824 0.000470
30 8129625 3428 0.000422
31 8129625 3497 0.000430
32 8129625 3549 0.000437
33 8129625 3578 0.000440
34 8129625 3873 0.000476
35 8129625 3428 0.000422
36 8129625 3477 0.000428
37 8129625 7057 0.000868
38 8129625 6435 0.000792
39 8129625 3483 0.000428
40 8129625 4935 0.000607
41 8129625 3371 0.000415
42 8129625 8832 0.001086
43 8129625 4205 0.000517
44 8129625 4042 0.000497
45 8129625 4331 0.000533
46 8129625 3738 0.000460
47 8129625 3546 0.000436
48 8129625 5687 0.000700
49 8129625 6632 0.000816
50 8129625 4839 0.000595
51 8129625 6582 0.000810
52 8129625 3422 0.000421
53 8129625 3863 0.000475
54 8129625 3737 0.000460
55 8129625 6169 0.000759
56 8129625 4585 0.000564
57 8129625 3536 0.000435
58 8129625 3315 0.000408
59 8129625 6657 0.000819
60 8129625 4669 0.000574
61 8129625 9441 0.001161
62 8129625 3290 0.000405
63 8129625 5182 0.000637
64 8129625 3350 0.000412
65 8129625 3321 0.000409
66 8129625 3581 0.000440
67 8129625 7127 0.000877
68 8129625 6740 0.000829
69 8129625 3533 0.000435
70 8129625 7843 0.000965
71 8129625 4591 0.000565
72 8129625 4807 0.000591
73 8129625 3801 0.000468
74 8129625 5219 0.000642
75 8129625 3922 0.000482
76 8129625 4657 0.000573
77 8129625 6139 0.000755
78 8129625 3747 0.000461
79 8129625 5109 0.000628
80 8129625 3561 0.000438
81 8129625 4764 0.000586
82 8129625 6676 0.000821
83 8129625 3413 0.000420
84 8129625 3826 0.000471
85 8129625 3594 0.000442
86 8129625 5027 0.000618
87 8129625 4497 0.000553
88 8129625 3567 0.000439
89 8129625 5355 0.000659
90 8129625 7510 0.000924
91 8129625 3488 0.000429
92 8129625 3775 0.000464
93 8129625 3974 0.000489
94 8129625 3983 0.000490
95 8129625 4671 0.000575
96 8129625 4208 0.000518
97 8129625 3610 0.000444
98 8129625 7467 0.000918
99 8129625 3735 0.000459
100 8129625 4524 0.000556
101 8128081 5135 0.000632
102 8126562 6591 0.000811
103 8125064 4417 0.000544
104 8123615 3665 0.000451
105 8121961 3759 0.000463
106 8120106 3713 0.000457
107 8118141 3945 0.000486
108 8116017 4812 0.000593
109 8113140 4143 0.000511
110 8109899 8539 0.001053
111 8105960 4104 0.000506
112 8101342 6897 0.000851
113 8094500 4634 0.000572
114 8085731 4422 0.000547
115 8074125 4732 0.000586
116 8058429 5856 0.000727
117 8038563 5142 0.000640
118 8013135 5431 0.000678
119 7982858 4945 0.000619
120 7945659 5256 0.000661
121 7900027 6268 0.000793
122 7844633 10656 0.001358
123 7780751 7814 0.001004
124 7706740 11831 0.001535
125 7621323 5096 0.000669
126 7525795 8221 0.001092
127 7423381 6328 0.000852
128 7313353 5570 0.000762
129 7199926 7673 0.001066
130 7069583 6150 0.000870
131 6931327 6511 0.000939
132 6783819 6858 0.001011
133 6621376 6240 0.000942
134 6459568 6425 0.000995
135 6298802 5217 0.000828
136 6134778 7570 0.001234
137 5974343 4809 0.000805
138 5808908 5350 0.000921
139 5645883 7350 0.001302
140 5469931 6338 0.001159
141 5294861 6535 0.001234
142 5130511 4998 0.000974
143 4970806 5318 0.001070
144 4808015 5041 0.001048
145 4654309 4917 0.001056
146 4501241 4679 0.001039
147 4332947 4902 0.001131
148 4180869 6899 0.001650
149 4024086 6251 0.001553
150 3870051 16150 0.004173
