# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0136	0.9959	0.1350	0.0152
2	0.0012	0.9908	0.0773	0.0024
3	0.0004	0.9831	0.0590	0.0009
4	0.0003	0.9739	0.0497	0.0006
5	0.0003	0.9625	0.0437	0.0004
6	0.0002	0.9504	0.0401	0.0003
7	0.0002	0.9364	0.0368	0.0003
8	0.0002	0.9214	0.0339	0.0002
9	0.0002	0.9038	0.0318	0.0002
10	0.0001	0.8850	0.0304	0.0002
11	0.0001	0.8661	0.0289	0.0002
12	0.0001	0.8468	0.0276	0.0002
13	0.0001	0.8263	0.0263	0.0002
14	0.0001	0.8059	0.0250	0.0002
15	0.0001	0.7850	0.0242	0.0001
16	0.0001	0.7624	0.0235	0.0001
17	0.0001	0.7387	0.0230	0.0001
18	0.0001	0.7152	0.0223	0.0001
19	0.0001	0.6925	0.0215	0.0001
20	0.0001	0.6693	0.0205	0.0001
21	0.0001	0.6466	0.0199	0.0001
22	0.0001	0.6229	0.0194	0.0001
23	0.0001	0.5993	0.0186	0.0001
24	0.0001	0.5788	0.0183	0.0001
25	0.0001	0.5593	0.0178	0.0001
26	0.0001	0.5386	0.0173	0.0001
27	0.0001	0.5181	0.0168	0.0001
28	0.0001	0.4975	0.0165	0.0001
29	0.0001	0.4768	0.0163	0.0001
30	0.0001	0.4579	0.0161	0.0001
31	0.0001	0.4402	0.0159	0.0001
32	0.0001	0.4226	0.0156	0.0001
33	0.0001	0.4054	0.0155	0.0001
34	0.0001	0.3879	0.0152	0.0001
35	0.0001	0.3720	0.0148	0.0001
36	0.0001	0.3557	0.0145	0.0001
37	0.0001	0.3409	0.0143	0.0001
38	0.0001	0.3254	0.0141	0.0001
39	0.0001	0.3109	0.0140	0.0001
40	0.0001	0.2968	0.0137	0.0001
41	0.0001	0.2834	0.0133	0.0001
42	0.0001	0.2705	0.0132	0.0000
43	0.0001	0.2589	0.0130	0.0000
44	0.0001	0.2470	0.0129	0.0000
45	0.0001	0.2361	0.0125	0.0000
46	0.0001	0.2245	0.0124	0.0000
47	0.0001	0.2141	0.0124	0.0000
48	0.0001	0.2042	0.0123	0.0000
49	0.0001	0.1957	0.0121	0.0000
50	0.0001	0.1866	0.0120	0.0000
