# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 297 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0135	0.9933	0.3098	0.0067
2	0.0000	0.9899	0.2020	0.0000
3	0.0000	0.9697	0.1717	0.0000
4	0.0000	0.9495	0.1481	0.0000
5	0.0000	0.9293	0.1313	0.0000
6	0.0000	0.9158	0.1246	0.0000
7	0.0000	0.9158	0.1178	0.0000
8	0.0000	0.8956	0.1145	0.0000
9	0.0000	0.8923	0.1044	0.0000
10	0.0000	0.8687	0.0976	0.0000
11	0.0000	0.8451	0.0909	0.0000
12	0.0000	0.8215	0.0875	0.0000
13	0.0000	0.8148	0.0842	0.0000
14	0.0000	0.7912	0.0774	0.0000
15	0.0000	0.7845	0.0774	0.0000
16	0.0000	0.7576	0.0707	0.0000
17	0.0000	0.7273	0.0707	0.0000
18	0.0000	0.7003	0.0707	0.0000
19	0.0000	0.6667	0.0707	0.0000
20	0.0000	0.6364	0.0673	0.0000
21	0.0000	0.6195	0.0673	0.0000
22	0.0000	0.6094	0.0673	0.0000
23	0.0000	0.5791	0.0640	0.0000
24	0.0000	0.5623	0.0606	0.0000
25	0.0000	0.5354	0.0606	0.0000
26	0.0000	0.5185	0.0606	0.0000
27	0.0000	0.4983	0.0606	0.0000
28	0.0000	0.4747	0.0606	0.0000
29	0.0000	0.4579	0.0606	0.0000
30	0.0000	0.4377	0.0606	0.0000
31	0.0000	0.4108	0.0539	0.0000
32	0.0000	0.3704	0.0539	0.0000
33	0.0000	0.3468	0.0539	0.0000
34	0.0000	0.3333	0.0539	0.0000
35	0.0000	0.3199	0.0539	0.0000
36	0.0000	0.2963	0.0539	0.0000
37	0.0000	0.2929	0.0539	0.0000
38	0.0000	0.2727	0.0539	0.0000
39	0.0000	0.2559	0.0539	0.0000
40	0.0000	0.2458	0.0539	0.0000
41	0.0000	0.2256	0.0539	0.0000
42	0.0000	0.2189	0.0505	0.0000
43	0.0000	0.2054	0.0505	0.0000
44	0.0000	0.2054	0.0505	0.0000
45	0.0000	0.1953	0.0505	0.0000
46	0.0000	0.1818	0.0505	0.0000
47	0.0000	0.1818	0.0505	0.0000
48	0.0000	0.1751	0.0505	0.0000
49	0.0000	0.1650	0.0505	0.0000
50	0.0000	0.1650	0.0438	0.0000
