# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 8278053 68847 0.008317
2 8278053 23773 0.002872
3 8278053 19100 0.002307
4 8278053 16362 0.001977
5 8278053 14362 0.001735
6 8278053 14402 0.001740
7 8278053 12829 0.001550
8 8278053 11633 0.001405
9 8278053 9496 0.001147
10 8278053 8787 0.001061
11 8278053 7626 0.000921
12 8278053 6057 0.000732
13 8278053 6148 0.000743
14 8278053 6972 0.000842
15 8278053 6523 0.000788
16 8278053 4939 0.000597
17 8278053 6137 0.000741
18 8278053 3862 0.000467
19 8278053 5341 0.000645
20 8278053 4022 0.000486
21 8278053 3676 0.000444
22 8278053 6787 0.000820
23 8278053 3270 0.000395
24 8278053 3496 0.000422
25 8278053 6708 0.000810
26 8278053 3391 0.000410
27 8278053 3184 0.000385
28 8278053 3256 0.000393
29 8278053 3473 0.000420
30 8278053 3485 0.000421
31 8278053 3275 0.000396
32 8278053 3385 0.000409
33 8278053 3586 0.000433
34 8278053 3558 0.000430
35 8278053 3398 0.000410
36 8278053 3446 0.000416
37 8278053 7225 0.000873
38 8278053 6176 0.000746
39 8278053 3321 0.000401
40 8278053 4909 0.000593
41 8278053 3256 0.000393
42 8278053 8745 0.001056
43 8278053 4185 0.000506
44 8278053 4028 0.000487
45 8278053 4157 0.000502
46 8278053 3622 0.000438
47 8278053 3429 0.000414
48 8278053 5514 0.000666
49 8278053 6122 0.000740
50 8278053 4535 0.000548
51 8278053 6535 0.000789
52 8278053 3258 0.000394
53 8278053 3699 0.000447
54 8278053 3692 0.000446
55 8278053 6093 0.000736
56 8278053 4545 0.000549
57 8278053 3567 0.000431
58 8278053 3232 0.000390
59 8278053 6750 0.000815
60 8278053 4448 0.000537
61 8278053 9563 0.001155
62 8278053 3458 0.000418
63 8278053 5175 0.000625
64 8278053 3323 0.000401
65 8278053 3361 0.000406
66 8278053 3431 0.000414
67 8278053 7119 0.000860
68 8278053 6553 0.000792
69 8278053 3493 0.000422
70 8278053 7905 0.000955
71 8278053 4597 0.000555
72 8278053 5398 0.000652
73 8278053 3960 0.000478
74 8278053 5192 0.000627
75 8278053 3831 0.000463
76 8278053 4572 0.000552
77 8278053 5953 0.000719
78 8278053 3326 0.000402
79 8278053 5201 0.000628
80 8278053 3428 0.000414
81 8278053 4573 0.000552
82 8278053 6721 0.000812
83 8278053 3319 0.000401
84 8278053 3793 0.000458
85 8278053 3420 0.000413
86 8278053 4904 0.000592
87 8278053 4573 0.000552
88 8278053 3590 0.000434
89 8278053 5274 0.000637
90 8278053 7633 0.000922
91 8278053 3366 0.000407
92 8278053 3730 0.000451
93 8278053 4009 0.000484
94 8278053 3829 0.000463
95 8278053 4380 0.000529
96 8278053 4089 0.000494
97 8278053 3629 0.000438
98 8278053 7450 0.000900
99 8278053 3765 0.000455
100 8278053 4673 0.000565
101 8276552 5012 0.000606
102 8275109 6098 0.000737
103 8273718 4345 0.000525
104 8272299 3863 0.000467
105 8270772 3527 0.000426
106 8268907 3532 0.000427
107 8267106 3969 0.000480
108 8265092 4672 0.000565
109 8262445 3926 0.000475
110 8259402 8459 0.001024
111 8255767 3997 0.000484
112 8251329 7430 0.000900
113 8244903 4957 0.000601
114 8236677 4571 0.000555
115 8225621 4954 0.000602
116 8211043 6237 0.000760
117 8191657 5112 0.000624
118 8167593 5580 0.000683
119 8138071 5279 0.000649
120 8102415 5337 0.000659
121 8058549 6382 0.000792
122 8005320 10832 0.001353
123 7943609 7917 0.000997
124 7871779 12406 0.001576
125 7788003 5349 0.000687
126 7695587 8561 0.001112
127 7595648 6803 0.000896
128 7488771 5934 0.000792
129 7377220 8427 0.001142
130 7249926 6912 0.000953
131 7115293 7113 0.001000
132 6969269 7708 0.001106
133 6810025 6910 0.001015
134 6650386 7069 0.001063
135 6491775 5894 0.000908
136 6328283 8344 0.001319
137 6168811 5210 0.000845
138 6002483 6067 0.001011
139 5838544 8064 0.001381
140 5661934 6954 0.001228
141 5486507 7180 0.001309
142 5320077 5589 0.001051
143 5158649 5964 0.001156
144 4993427 5651 0.001132
145 4837260 5654 0.001169
146 4682331 5320 0.001136
147 4511123 5627 0.001247
148 4356953 7232 0.001660
149 4197728 6584 0.001568
150 4040551 17285 0.004278
