# nread -> total number of read pairs read from the FASTQ files.
nread 13625266
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 524078
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1575052
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 3505
# nattempted -> number of read pairs we attempted to align
nattempted 11526136
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 10635967
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 10562720
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 10562720
