# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1569	0.9976	0.4668	0.1684
2	0.1394	0.9957	0.3635	0.1460
3	0.1340	0.9932	0.3196	0.1434
4	0.1296	0.9900	0.2923	0.1416
5	0.1259	0.9861	0.2743	0.1398
6	0.1233	0.9815	0.2596	0.1383
7	0.1217	0.9767	0.2482	0.1365
8	0.1201	0.9720	0.2370	0.1346
9	0.1187	0.9661	0.2290	0.1330
10	0.1179	0.9603	0.2220	0.1311
11	0.1168	0.9532	0.2152	0.1296
12	0.1157	0.9456	0.2092	0.1279
13	0.1147	0.9379	0.2046	0.1261
14	0.1138	0.9300	0.1990	0.1247
15	0.1129	0.9217	0.1940	0.1232
16	0.1123	0.9135	0.1903	0.1217
17	0.1114	0.9044	0.1863	0.1201
18	0.1104	0.8944	0.1830	0.1190
19	0.1096	0.8836	0.1797	0.1176
20	0.1088	0.8736	0.1766	0.1163
21	0.1077	0.8631	0.1733	0.1153
22	0.1066	0.8524	0.1705	0.1139
23	0.1053	0.8405	0.1676	0.1129
24	0.1043	0.8286	0.1648	0.1120
25	0.1029	0.8150	0.1627	0.1113
26	0.1018	0.8024	0.1598	0.1102
27	0.1006	0.7887	0.1578	0.1088
28	0.0992	0.7753	0.1557	0.1075
29	0.0977	0.7619	0.1534	0.1061
30	0.0965	0.7488	0.1513	0.1050
31	0.0951	0.7362	0.1491	0.1035
32	0.0940	0.7224	0.1467	0.1024
33	0.0929	0.7098	0.1442	0.1015
34	0.0915	0.6973	0.1424	0.1003
35	0.0900	0.6839	0.1407	0.0994
36	0.0888	0.6724	0.1390	0.0980
37	0.0872	0.6599	0.1371	0.0969
38	0.0861	0.6472	0.1351	0.0958
39	0.0847	0.6342	0.1336	0.0950
40	0.0835	0.6211	0.1319	0.0939
41	0.0825	0.6080	0.1301	0.0930
42	0.0813	0.5945	0.1285	0.0921
43	0.0801	0.5807	0.1271	0.0913
44	0.0793	0.5685	0.1256	0.0906
45	0.0782	0.5561	0.1243	0.0898
46	0.0774	0.5446	0.1229	0.0887
47	0.0764	0.5323	0.1218	0.0881
48	0.0756	0.5216	0.1201	0.0873
49	0.0747	0.5105	0.1186	0.0864
50	0.0737	0.4995	0.1177	0.0856
