# Distribution of insert lengths
# Length Number Fraction
100 58212 0.0048
101 63776 0.0052
102 68215 0.0056
103 77077 0.0063
104 90457 0.0074
105 102679 0.0084
106 108058 0.0088
107 113739 0.0093
108 136307 0.0111
109 139888 0.0114
110 139541 0.0114
111 141922 0.0116
112 161300 0.0132
113 165918 0.0135
114 174472 0.0142
115 185668 0.0152
116 190345 0.0155
117 196174 0.0160
118 195076 0.0159
119 198143 0.0162
120 202600 0.0165
121 208182 0.0170
122 206520 0.0169
123 210514 0.0172
124 211967 0.0173
125 210804 0.0172
126 203185 0.0166
127 195035 0.0159
128 187890 0.0153
129 196937 0.0161
130 194513 0.0159
131 195477 0.0160
132 203418 0.0166
133 196420 0.0160
134 188441 0.0154
135 183363 0.0150
136 175086 0.0143
137 177559 0.0145
138 171358 0.0140
139 178090 0.0145
140 181331 0.0148
141 168176 0.0137
142 162679 0.0133
143 164941 0.0135
144 155411 0.0127
145 155570 0.0127
146 168365 0.0137
147 153542 0.0125
148 156381 0.0128
149 153494 0.0125
150 150935 0.0123
151 146517 0.0120
152 142424 0.0116
153 140721 0.0115
154 141294 0.0115
155 136234 0.0111
156 134529 0.0110
157 139528 0.0114
158 133368 0.0109
159 126327 0.0103
160 128369 0.0105
161 118487 0.0097
162 117482 0.0096
163 127899 0.0104
164 120906 0.0099
165 111517 0.0091
166 113279 0.0093
167 112439 0.0092
168 112136 0.0092
169 104948 0.0086
170 103988 0.0085
171 100707 0.0082
172 95849 0.0078
173 96671 0.0079
174 93179 0.0076
175 91503 0.0075
176 84495 0.0069
177 77351 0.0063
178 76931 0.0063
179 69670 0.0057
180 61891 0.0051
181 63893 0.0052
182 57115 0.0047
183 50584 0.0041
184 46894 0.0038
185 43459 0.0035
186 39708 0.0032
187 35169 0.0029
188 30979 0.0025
189 26571 0.0022
190 22976 0.0019
191 19398 0.0016
192 16264 0.0013
193 14757 0.0012
194 12361 0.0010
195 10011 0.0008
196 7928 0.0006
197 6526 0.0005
198 4833 0.0004
