# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 11261940 108341 0.009620
2 11261940 43996 0.003907
3 11261940 38962 0.003460
4 11261940 34078 0.003026
5 11261940 32069 0.002848
6 11261940 31654 0.002811
7 11261940 28387 0.002521
8 11261940 28456 0.002527
9 11261940 28245 0.002508
10 11261940 25664 0.002279
11 11261940 46191 0.004102
12 11261940 22418 0.001991
13 11261940 20907 0.001856
14 11261940 20564 0.001826
15 11261940 24454 0.002171
16 11261940 20277 0.001800
17 11261940 19985 0.001775
18 11261940 19917 0.001769
19 11261940 17551 0.001558
20 11261940 18494 0.001642
21 11261940 19394 0.001722
22 11261940 17755 0.001577
23 11261940 18129 0.001610
24 11261940 19738 0.001753
25 11261940 18265 0.001622
26 11261940 18766 0.001666
27 11261940 18513 0.001644
28 11261940 18115 0.001609
29 11261940 23953 0.002127
30 11261940 19107 0.001697
31 11261940 17731 0.001574
32 11261940 17434 0.001548
33 11261940 17704 0.001572
34 11261940 17457 0.001550
35 11261940 17955 0.001594
36 11261940 17411 0.001546
37 11261940 18258 0.001621
38 11261940 18467 0.001640
39 11261940 17592 0.001562
40 11261940 17038 0.001513
41 11261940 17258 0.001532
42 11261940 17293 0.001536
43 11261940 17404 0.001545
44 11261940 20377 0.001809
45 11261940 17463 0.001551
46 11261940 17017 0.001511
47 11261940 16929 0.001503
48 11261940 17210 0.001528
49 11261940 17667 0.001569
50 11261940 17773 0.001578
51 11261940 17639 0.001566
52 11261940 17635 0.001566
53 11261940 20571 0.001827
54 11261940 17444 0.001549
55 11261940 27544 0.002446
56 11261940 21250 0.001887
57 11261940 21181 0.001881
58 11261940 17172 0.001525
59 11261940 17133 0.001521
60 11261940 17259 0.001533
61 11261940 16927 0.001503
62 11261940 16962 0.001506
63 11261940 17138 0.001522
64 11261940 17296 0.001536
65 11261940 17436 0.001548
66 11261940 18150 0.001612
67 11261940 17400 0.001545
68 11261940 17959 0.001595
69 11261940 18873 0.001676
70 11261940 17753 0.001576
71 11261940 18279 0.001623
72 11261940 21871 0.001942
73 11261940 16763 0.001488
74 11261940 17491 0.001553
75 11261940 19376 0.001720
76 11261940 17223 0.001529
77 11261940 16838 0.001495
78 11261940 16561 0.001471
79 11261940 17793 0.001580
80 11261940 18364 0.001631
81 11261940 17863 0.001586
82 11261940 17085 0.001517
83 11261940 20089 0.001784
84 11261940 16784 0.001490
85 11261940 17099 0.001518
86 11261940 17622 0.001565
87 11261940 18266 0.001622
88 11261940 15901 0.001412
89 11261940 16732 0.001486
90 11261940 16381 0.001455
91 11261940 30754 0.002731
92 11261940 16379 0.001454
93 11261940 17032 0.001512
94 11261940 16414 0.001457
95 11261940 17246 0.001531
96 11261940 16643 0.001478
97 11261940 16840 0.001495
98 11261940 16743 0.001487
99 11261940 17182 0.001526
100 11261940 17597 0.001563
101 11208250 17443 0.001556
102 11149062 16611 0.001490
103 11086060 17551 0.001583
104 11015740 17355 0.001575
105 10932607 16748 0.001532
106 10838086 20399 0.001882
107 10739492 20368 0.001897
108 10635192 23847 0.002242
109 10510461 17412 0.001657
110 10382559 17686 0.001703
111 10253862 17789 0.001735
112 10125353 19640 0.001940
113 9976701 18045 0.001809
114 9826967 18203 0.001852
115 9668514 32285 0.003339
116 9499335 31325 0.003298
117 9327367 30835 0.003306
118 9149463 15162 0.001657
119 8973226 15233 0.001698
120 8794332 15451 0.001757
121 8611936 15699 0.001823
122 8423657 14168 0.001682
123 8238479 15565 0.001889
124 8049260 17174 0.002134
125 7858236 15042 0.001914
126 7667908 12885 0.001680
127 7483963 14311 0.001912
128 7307920 18321 0.002507
129 7138078 15188 0.002128
130 6959559 13013 0.001870
131 6781624 12536 0.001849
132 6603555 12516 0.001895
133 6417206 11820 0.001842
134 6239664 11603 0.001860
135 6070143 13170 0.002170
136 5903543 12089 0.002048
137 5745070 11077 0.001928
138 5582368 11621 0.002082
139 5425534 10965 0.002021
140 5262765 11115 0.002112
141 5097196 10238 0.002009
142 4943293 10312 0.002086
143 4793644 10294 0.002147
144 4643817 10603 0.002283
145 4502046 10077 0.002238
146 4359962 9610 0.002204
147 4204957 10308 0.002451
148 4064328 11283 0.002776
149 3919801 9707 0.002476
