# Distribution of insert lengths
# Length Number Fraction
100 66687 0.0053
101 72039 0.0057
102 76779 0.0061
103 85459 0.0068
104 101547 0.0081
105 114779 0.0091
106 119471 0.0095
107 125187 0.0100
108 150105 0.0119
109 151816 0.0121
110 151125 0.0120
111 153009 0.0122
112 174137 0.0138
113 177277 0.0141
114 187764 0.0149
115 196697 0.0156
116 200610 0.0159
117 207990 0.0165
118 204255 0.0162
119 208264 0.0166
120 211126 0.0168
121 217447 0.0173
122 213615 0.0170
123 218539 0.0174
124 218774 0.0174
125 219025 0.0174
126 210183 0.0167
127 201630 0.0160
128 193853 0.0154
129 202075 0.0161
130 199302 0.0158
131 199417 0.0159
132 208586 0.0166
133 200419 0.0159
134 191747 0.0152
135 186836 0.0149
136 177274 0.0141
137 181329 0.0144
138 175281 0.0139
139 181326 0.0144
140 184190 0.0146
141 170589 0.0136
142 164848 0.0131
143 167166 0.0133
144 157276 0.0125
145 157174 0.0125
146 170445 0.0136
147 154835 0.0123
148 157398 0.0125
149 154189 0.0123
150 151445 0.0120
151 145798 0.0116
152 143537 0.0114
153 141634 0.0113
154 141616 0.0113
155 137526 0.0109
156 134649 0.0107
157 139707 0.0111
158 133666 0.0106
159 125862 0.0100
160 128220 0.0102
161 118212 0.0094
162 116572 0.0093
163 128043 0.0102
164 121906 0.0097
165 111492 0.0089
166 112944 0.0090
167 112477 0.0089
168 111219 0.0088
169 104664 0.0083
170 104056 0.0083
171 99827 0.0079
172 95367 0.0076
173 96456 0.0077
174 93073 0.0074
175 91669 0.0073
176 84370 0.0067
177 76350 0.0061
178 76436 0.0061
179 69127 0.0055
180 60930 0.0048
181 63328 0.0050
182 56736 0.0045
183 49691 0.0040
184 46275 0.0037
185 43030 0.0034
186 39014 0.0031
187 33804 0.0027
188 29972 0.0024
189 26132 0.0021
190 21973 0.0017
191 18811 0.0015
192 15574 0.0012
193 14343 0.0011
194 11648 0.0009
195 9679 0.0008
196 7529 0.0006
197 6161 0.0005
198 4631 0.0004
