# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1272 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.8719	0.9984	0.9528	0.8294
2	0.7846	0.9976	0.9237	0.7783
3	0.7516	0.9969	0.9009	0.7689
4	0.7343	0.9945	0.8931	0.7642
5	0.7138	0.9937	0.8821	0.7563
6	0.7013	0.9914	0.8750	0.7516
7	0.6903	0.9914	0.8664	0.7453
8	0.6753	0.9866	0.8601	0.7374
9	0.6651	0.9827	0.8530	0.7311
10	0.6580	0.9811	0.8443	0.7241
11	0.6486	0.9788	0.8381	0.7146
12	0.6407	0.9748	0.8294	0.7068
13	0.6336	0.9709	0.8247	0.7005
14	0.6297	0.9693	0.8208	0.6934
15	0.6219	0.9631	0.8113	0.6824
16	0.6156	0.9552	0.8035	0.6706
17	0.6140	0.9513	0.7964	0.6667
18	0.6116	0.9473	0.7909	0.6580
19	0.6085	0.9434	0.7846	0.6517
20	0.6038	0.9410	0.7791	0.6454
21	0.5998	0.9340	0.7704	0.6352
22	0.5959	0.9292	0.7673	0.6266
23	0.5912	0.9245	0.7610	0.6179
24	0.5888	0.9214	0.7539	0.6156
25	0.5841	0.9182	0.7508	0.6140
26	0.5825	0.9127	0.7476	0.6116
27	0.5810	0.9080	0.7429	0.6077
28	0.5770	0.9041	0.7429	0.6006
29	0.5708	0.8962	0.7398	0.5951
30	0.5668	0.8899	0.7335	0.5912
31	0.5645	0.8829	0.7296	0.5865
32	0.5605	0.8766	0.7272	0.5825
33	0.5535	0.8719	0.7256	0.5763
34	0.5495	0.8648	0.7225	0.5739
35	0.5440	0.8577	0.7186	0.5660
36	0.5385	0.8475	0.7138	0.5613
37	0.5354	0.8404	0.7107	0.5566
38	0.5291	0.8365	0.7060	0.5558
39	0.5236	0.8341	0.6989	0.5511
40	0.5157	0.8270	0.6965	0.5472
41	0.5110	0.8160	0.6926	0.5440
42	0.5047	0.8066	0.6879	0.5409
43	0.5031	0.8019	0.6816	0.5354
44	0.5008	0.7964	0.6800	0.5338
45	0.4969	0.7932	0.6761	0.5299
46	0.4921	0.7885	0.6745	0.5291
47	0.4890	0.7830	0.6698	0.5259
48	0.4835	0.7752	0.6651	0.5236
49	0.4803	0.7712	0.6572	0.5212
50	0.4733	0.7673	0.6533	0.5134
