# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 10952456 132786 0.012124
2 10952456 66061 0.006032
3 10952456 58165 0.005311
4 10952456 49796 0.004547
5 10952456 47497 0.004337
6 10952456 47712 0.004356
7 10952456 44249 0.004040
8 10952456 43570 0.003978
9 10952456 43582 0.003979
10 10952456 41433 0.003783
11 10952456 63255 0.005775
12 10952456 40402 0.003689
13 10952456 40294 0.003679
14 10952456 40238 0.003674
15 10952456 45629 0.004166
16 10952456 37746 0.003446
17 10952456 37465 0.003421
18 10952456 36629 0.003344
19 10952456 36264 0.003311
20 10952456 36708 0.003352
21 10952456 37177 0.003394
22 10952456 35576 0.003248
23 10952456 35103 0.003205
24 10952456 35577 0.003248
25 10952456 35265 0.003220
26 10952456 34987 0.003194
27 10952456 36444 0.003327
28 10952456 35673 0.003257
29 10952456 42280 0.003860
30 10952456 37228 0.003399
31 10952456 35764 0.003265
32 10952456 35620 0.003252
33 10952456 35577 0.003248
34 10952456 35876 0.003276
35 10952456 35118 0.003206
36 10952456 34928 0.003189
37 10952456 34868 0.003184
38 10952456 35068 0.003202
39 10952456 35307 0.003224
40 10952456 34792 0.003177
41 10952456 34696 0.003168
42 10952456 34560 0.003155
43 10952456 34816 0.003179
44 10952456 34779 0.003175
45 10952456 34814 0.003179
46 10952456 34874 0.003184
47 10952456 34549 0.003154
48 10952456 34706 0.003169
49 10952456 36295 0.003314
50 10952456 36896 0.003369
51 10952456 36145 0.003300
52 10952456 36475 0.003330
53 10952456 39059 0.003566
54 10952456 36614 0.003343
55 10952456 42662 0.003895
56 10952456 36258 0.003310
57 10952456 36355 0.003319
58 10952456 35884 0.003276
59 10952456 36093 0.003295
60 10952456 35683 0.003258
61 10952456 35882 0.003276
62 10952456 35752 0.003264
63 10952456 35603 0.003251
64 10952456 36199 0.003305
65 10952456 36036 0.003290
66 10952456 35890 0.003277
67 10952456 35608 0.003251
68 10952456 35641 0.003254
69 10952456 37400 0.003415
70 10952456 35820 0.003270
71 10952456 35612 0.003252
72 10952456 40209 0.003671
73 10952456 35781 0.003267
74 10952456 35886 0.003277
75 10952456 38737 0.003537
76 10952456 35311 0.003224
77 10952456 35270 0.003220
78 10952456 35176 0.003212
79 10952456 34596 0.003159
80 10952456 34424 0.003143
81 10952456 34611 0.003160
82 10952456 35032 0.003199
83 10952456 38466 0.003512
84 10952456 35408 0.003233
85 10952456 35361 0.003229
86 10952456 35578 0.003248
87 10952456 36071 0.003293
88 10952456 34706 0.003169
89 10952456 34458 0.003146
90 10952456 34747 0.003173
91 10952456 48744 0.004451
92 10952456 35189 0.003213
93 10952456 35540 0.003245
94 10952456 36115 0.003297
95 10952456 36186 0.003304
96 10952456 35398 0.003232
97 10952456 35206 0.003214
98 10952456 35146 0.003209
99 10952456 35517 0.003243
100 10952456 35308 0.003224
101 10899404 34948 0.003206
102 10841243 34973 0.003226
103 10779138 34889 0.003237
104 10709362 34729 0.003243
105 10627127 34575 0.003253
106 10533604 33880 0.003216
107 10436348 33616 0.003221
108 10333173 37364 0.003616
109 10209160 33965 0.003327
110 10083547 33381 0.003310
111 9957098 32343 0.003248
112 9829879 33621 0.003420
113 9685410 33109 0.003418
114 9537564 32771 0.003436
115 9381345 31953 0.003406
116 9216175 31319 0.003398
117 9046314 31106 0.003439
118 8869730 29805 0.003360
119 8695489 28829 0.003315
120 8519232 28949 0.003398
121 8338915 29352 0.003520
122 8152367 27685 0.003396
123 7968566 27980 0.003511
124 7781004 30540 0.003925
125 7592845 27228 0.003586
126 7405132 26091 0.003523
127 7222765 24986 0.003459
128 7049019 28262 0.004009
129 6882119 25066 0.003642
130 6708309 23980 0.003575
131 6534538 23453 0.003589
132 6359752 22902 0.003601
133 6177327 22155 0.003587
134 6002950 21845 0.003639
135 5835512 22488 0.003854
136 5672002 20533 0.003620
137 5515555 19672 0.003567
138 5355941 19553 0.003651
139 5202243 19303 0.003711
140 5041101 19491 0.003866
141 4880791 18902 0.003873
142 4730234 17823 0.003768
143 4585071 17574 0.003833
144 4438107 17685 0.003985
145 4299136 16615 0.003865
146 4160060 15680 0.003769
147 4009456 16907 0.004217
148 3872174 17348 0.004480
149 3732803 15367 0.004117
