# Distribution of insert lengths
# Length Number Fraction
100 69156 0.0053
101 75303 0.0057
102 81220 0.0062
103 90818 0.0069
104 106490 0.0081
105 119623 0.0091
106 126643 0.0097
107 132647 0.0101
108 157698 0.0120
109 161559 0.0123
110 162425 0.0124
111 164169 0.0125
112 186073 0.0142
113 189713 0.0145
114 199617 0.0152
115 210721 0.0161
116 213798 0.0163
117 221319 0.0169
118 219813 0.0168
119 222868 0.0170
120 227828 0.0174
121 232180 0.0177
122 227376 0.0173
123 232490 0.0177
124 232793 0.0178
125 231885 0.0177
126 223584 0.0171
127 215792 0.0165
128 204370 0.0156
129 213779 0.0163
130 211455 0.0161
131 210434 0.0161
132 220621 0.0168
133 211482 0.0161
134 202403 0.0154
135 196638 0.0150
136 188051 0.0143
137 190674 0.0145
138 184218 0.0141
139 189272 0.0144
140 189555 0.0145
141 178388 0.0136
142 172285 0.0131
143 172821 0.0132
144 163285 0.0125
145 163241 0.0125
146 174877 0.0133
147 160052 0.0122
148 161319 0.0123
149 160041 0.0122
150 155889 0.0119
151 150187 0.0115
152 146642 0.0112
153 145084 0.0111
154 145771 0.0111
155 141037 0.0108
156 138393 0.0106
157 141698 0.0108
158 135321 0.0103
159 127907 0.0098
160 130104 0.0099
161 120754 0.0092
162 117713 0.0090
163 128368 0.0098
164 122309 0.0093
165 113086 0.0086
166 114027 0.0087
167 111929 0.0085
168 112617 0.0086
169 105399 0.0080
170 104404 0.0080
171 100368 0.0077
172 95384 0.0073
173 96664 0.0074
174 92586 0.0071
175 90682 0.0069
176 84155 0.0064
177 77031 0.0059
178 76369 0.0058
179 69686 0.0053
180 61468 0.0047
181 63021 0.0048
182 56256 0.0043
183 49918 0.0038
184 46241 0.0035
185 42637 0.0033
186 38863 0.0030
187 34269 0.0026
188 30238 0.0023
189 25638 0.0020
190 22139 0.0017
191 18986 0.0014
192 15904 0.0012
193 14002 0.0011
194 11819 0.0009
195 9588 0.0007
196 7659 0.0006
197 6132 0.0005
198 4668 0.0004
