# Distribution of insert lengths
# Length Number Fraction
100 64518 0.0050
101 70377 0.0054
102 74781 0.0058
103 83321 0.0064
104 98740 0.0076
105 111399 0.0086
106 116597 0.0090
107 122404 0.0095
108 148475 0.0115
109 150489 0.0116
110 150655 0.0116
111 151155 0.0117
112 172395 0.0133
113 177791 0.0137
114 186229 0.0144
115 196712 0.0152
116 200696 0.0155
117 208935 0.0162
118 204879 0.0158
119 209370 0.0162
120 213547 0.0165
121 220121 0.0170
122 216113 0.0167
123 221221 0.0171
124 222064 0.0172
125 221795 0.0171
126 213707 0.0165
127 205100 0.0159
128 197028 0.0152
129 204196 0.0158
130 204125 0.0158
131 203542 0.0157
132 213096 0.0165
133 204674 0.0158
134 196282 0.0152
135 191196 0.0148
136 183234 0.0142
137 185816 0.0144
138 179735 0.0139
139 186683 0.0144
140 188935 0.0146
141 176539 0.0137
142 170944 0.0132
143 172659 0.0134
144 163052 0.0126
145 162534 0.0126
146 176411 0.0136
147 160324 0.0124
148 164216 0.0127
149 162096 0.0125
150 158319 0.0122
151 152933 0.0118
152 150449 0.0116
153 147927 0.0114
154 148058 0.0114
155 143659 0.0111
156 142168 0.0110
157 146809 0.0114
158 140493 0.0109
159 132147 0.0102
160 135834 0.0105
161 124729 0.0096
162 122160 0.0094
163 135421 0.0105
164 128394 0.0099
165 117705 0.0091
166 119863 0.0093
167 118209 0.0091
168 118074 0.0091
169 110263 0.0085
170 110410 0.0085
171 105761 0.0082
172 101985 0.0079
173 103353 0.0080
174 99081 0.0077
175 98061 0.0076
176 90320 0.0070
177 82025 0.0063
178 82665 0.0064
179 74753 0.0058
180 66023 0.0051
181 68425 0.0053
182 61269 0.0047
183 54226 0.0042
184 50774 0.0039
185 46623 0.0036
186 42332 0.0033
187 37276 0.0029
188 32678 0.0025
189 28340 0.0022
190 24253 0.0019
191 20379 0.0016
192 17336 0.0013
193 15658 0.0012
194 13170 0.0010
195 10756 0.0008
196 8498 0.0007
197 6905 0.0005
198 5216 0.0004
