# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1654	0.9914	0.7827	0.1782
2	0.1450	0.9854	0.6751	0.1484
3	0.1412	0.9797	0.5998	0.1442
4	0.1386	0.9737	0.5420	0.1423
5	0.1362	0.9679	0.4990	0.1411
6	0.1340	0.9613	0.4627	0.1401
7	0.1320	0.9547	0.4346	0.1389
8	0.1296	0.9479	0.4117	0.1375
9	0.1276	0.9417	0.3921	0.1362
10	0.1256	0.9360	0.3741	0.1346
11	0.1237	0.9298	0.3594	0.1336
12	0.1223	0.9229	0.3469	0.1329
13	0.1214	0.9160	0.3344	0.1314
14	0.1205	0.9100	0.3240	0.1301
15	0.1193	0.9033	0.3151	0.1284
16	0.1183	0.8961	0.3073	0.1273
17	0.1179	0.8889	0.2994	0.1261
18	0.1174	0.8822	0.2923	0.1249
19	0.1167	0.8752	0.2856	0.1238
20	0.1161	0.8678	0.2798	0.1228
21	0.1157	0.8607	0.2742	0.1218
22	0.1153	0.8533	0.2696	0.1212
23	0.1148	0.8463	0.2650	0.1201
24	0.1142	0.8386	0.2608	0.1190
25	0.1138	0.8314	0.2559	0.1183
26	0.1132	0.8242	0.2517	0.1175
27	0.1127	0.8166	0.2481	0.1169
28	0.1123	0.8082	0.2447	0.1164
29	0.1119	0.8014	0.2415	0.1156
30	0.1114	0.7927	0.2385	0.1148
31	0.1112	0.7851	0.2352	0.1142
32	0.1110	0.7769	0.2320	0.1136
33	0.1104	0.7692	0.2287	0.1130
34	0.1099	0.7614	0.2260	0.1125
35	0.1094	0.7538	0.2222	0.1123
36	0.1090	0.7464	0.2195	0.1117
37	0.1086	0.7388	0.2169	0.1112
38	0.1083	0.7311	0.2146	0.1108
39	0.1080	0.7230	0.2124	0.1104
40	0.1077	0.7158	0.2099	0.1101
41	0.1072	0.7082	0.2078	0.1093
42	0.1068	0.7004	0.2061	0.1089
43	0.1064	0.6924	0.2040	0.1085
44	0.1061	0.6844	0.2018	0.1080
45	0.1056	0.6769	0.1999	0.1075
46	0.1054	0.6700	0.1979	0.1069
47	0.1050	0.6629	0.1960	0.1066
48	0.1045	0.6556	0.1942	0.1063
49	0.1039	0.6478	0.1926	0.1056
50	0.1034	0.6403	0.1906	0.1049
