# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0272	0.9899	0.7468	0.0417
2	0.0046	0.9830	0.6217	0.0078
3	0.0023	0.9765	0.5342	0.0034
4	0.0014	0.9696	0.4674	0.0019
5	0.0009	0.9629	0.4177	0.0013
6	0.0006	0.9555	0.3758	0.0010
7	0.0004	0.9481	0.3436	0.0007
8	0.0004	0.9403	0.3178	0.0006
9	0.0003	0.9333	0.2954	0.0006
10	0.0003	0.9268	0.2754	0.0004
11	0.0003	0.9198	0.2592	0.0004
12	0.0002	0.9121	0.2453	0.0004
13	0.0002	0.9041	0.2317	0.0004
14	0.0001	0.8976	0.2203	0.0003
15	0.0001	0.8900	0.2110	0.0001
16	0.0001	0.8817	0.2025	0.0001
17	0.0001	0.8734	0.1944	0.0001
18	0.0001	0.8658	0.1869	0.0001
19	0.0001	0.8580	0.1799	0.0001
20	0.0001	0.8496	0.1739	0.0001
21	0.0001	0.8415	0.1680	0.0001
22	0.0001	0.8331	0.1634	0.0001
23	0.0001	0.8251	0.1587	0.0001
24	0.0001	0.8162	0.1544	0.0001
25	0.0001	0.8081	0.1493	0.0001
26	0.0001	0.7999	0.1449	0.0001
27	0.0001	0.7914	0.1413	0.0001
28	0.0001	0.7820	0.1380	0.0001
29	0.0001	0.7742	0.1350	0.0001
30	0.0001	0.7644	0.1321	0.0001
31	0.0001	0.7556	0.1289	0.0001
32	0.0001	0.7464	0.1256	0.0001
33	0.0001	0.7377	0.1224	0.0001
34	0.0001	0.7290	0.1201	0.0001
35	0.0001	0.7203	0.1161	0.0001
36	0.0001	0.7119	0.1136	0.0001
37	0.0001	0.7032	0.1111	0.0001
38	0.0001	0.6946	0.1092	0.0001
39	0.0001	0.6854	0.1071	0.0001
40	0.0001	0.6772	0.1046	0.0001
41	0.0001	0.6687	0.1027	0.0001
42	0.0001	0.6599	0.1012	0.0001
43	0.0001	0.6509	0.0994	0.0001
44	0.0001	0.6419	0.0973	0.0001
45	0.0001	0.6334	0.0956	0.0001
46	0.0001	0.6256	0.0938	0.0001
47	0.0001	0.6174	0.0924	0.0001
48	0.0001	0.6092	0.0906	0.0001
49	0.0001	0.6003	0.0893	0.0001
50	0.0001	0.5917	0.0876	0.0001
