# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 289 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0346	0.9723	0.8858	0.0727
2	0.0000	0.9585	0.8304	0.0104
3	0.0000	0.9550	0.8062	0.0035
4	0.0000	0.9446	0.7820	0.0000
5	0.0000	0.9273	0.7543	0.0000
6	0.0000	0.9204	0.7232	0.0000
7	0.0000	0.9135	0.7059	0.0000
8	0.0000	0.9100	0.6817	0.0000
9	0.0000	0.9100	0.6678	0.0000
10	0.0000	0.9100	0.6609	0.0000
11	0.0000	0.9100	0.6332	0.0000
12	0.0000	0.8997	0.6159	0.0000
13	0.0000	0.8962	0.6055	0.0000
14	0.0000	0.8962	0.5882	0.0000
15	0.0000	0.8962	0.5813	0.0000
16	0.0000	0.8858	0.5675	0.0000
17	0.0000	0.8720	0.5467	0.0000
18	0.0000	0.8651	0.5398	0.0000
19	0.0000	0.8547	0.5329	0.0000
20	0.0000	0.8512	0.5260	0.0000
21	0.0000	0.8374	0.5190	0.0000
22	0.0000	0.8270	0.5190	0.0000
23	0.0000	0.8166	0.5121	0.0000
24	0.0000	0.8131	0.4983	0.0000
25	0.0000	0.8028	0.4879	0.0000
26	0.0000	0.7958	0.4810	0.0000
27	0.0000	0.7855	0.4775	0.0000
28	0.0000	0.7855	0.4706	0.0000
29	0.0000	0.7820	0.4671	0.0000
30	0.0000	0.7612	0.4671	0.0000
31	0.0000	0.7509	0.4567	0.0000
32	0.0000	0.7405	0.4429	0.0000
33	0.0000	0.7405	0.4360	0.0000
34	0.0000	0.7336	0.4291	0.0000
35	0.0000	0.7266	0.4118	0.0000
36	0.0000	0.7197	0.4083	0.0000
37	0.0000	0.7128	0.4014	0.0000
38	0.0000	0.7093	0.4014	0.0000
39	0.0000	0.7024	0.3979	0.0000
40	0.0000	0.6886	0.3841	0.0000
41	0.0000	0.6782	0.3806	0.0000
42	0.0000	0.6747	0.3772	0.0000
43	0.0000	0.6678	0.3737	0.0000
44	0.0000	0.6644	0.3633	0.0000
45	0.0000	0.6540	0.3633	0.0000
46	0.0000	0.6471	0.3529	0.0000
47	0.0000	0.6401	0.3495	0.0000
48	0.0000	0.6263	0.3495	0.0000
49	0.0000	0.6263	0.3426	0.0000
50	0.0000	0.6194	0.3391	0.0000
