# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1261 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7772	0.9937	0.9730	0.7843
2	0.7637	0.9897	0.9596	0.7684
3	0.7542	0.9881	0.9524	0.7653
4	0.7494	0.9857	0.9453	0.7621
5	0.7462	0.9810	0.9381	0.7597
6	0.7383	0.9770	0.9294	0.7557
7	0.7272	0.9754	0.9231	0.7494
8	0.7145	0.9738	0.9167	0.7462
9	0.7082	0.9730	0.9120	0.7423
10	0.6994	0.9730	0.9080	0.7296
11	0.6891	0.9715	0.8993	0.7248
12	0.6828	0.9691	0.8921	0.7224
13	0.6796	0.9683	0.8890	0.7145
14	0.6725	0.9667	0.8842	0.7105
15	0.6630	0.9651	0.8818	0.7026
16	0.6550	0.9627	0.8779	0.7002
17	0.6527	0.9596	0.8699	0.6931
18	0.6463	0.9572	0.8676	0.6875
19	0.6416	0.9548	0.8660	0.6828
20	0.6392	0.9524	0.8636	0.6804
21	0.6360	0.9485	0.8612	0.6749
22	0.6328	0.9461	0.8588	0.6733
23	0.6281	0.9429	0.8565	0.6717
24	0.6241	0.9405	0.8533	0.6622
25	0.6217	0.9358	0.8477	0.6590
26	0.6154	0.9334	0.8454	0.6534
27	0.6114	0.9302	0.8430	0.6487
28	0.6106	0.9294	0.8390	0.6447
29	0.6082	0.9286	0.8358	0.6384
30	0.6067	0.9223	0.8335	0.6312
31	0.6051	0.9199	0.8295	0.6281
32	0.6027	0.9175	0.8247	0.6249
33	0.5987	0.9159	0.8200	0.6186
34	0.5964	0.9120	0.8136	0.6154
35	0.5948	0.9088	0.8081	0.6130
36	0.5924	0.9072	0.8049	0.6098
37	0.5892	0.9056	0.8010	0.6075
38	0.5892	0.9025	0.7994	0.6059
39	0.5876	0.8977	0.7978	0.6043
40	0.5868	0.8929	0.7938	0.6035
41	0.5860	0.8898	0.7914	0.5987
42	0.5860	0.8890	0.7891	0.5964
43	0.5845	0.8866	0.7843	0.5956
44	0.5837	0.8842	0.7803	0.5948
45	0.5821	0.8818	0.7795	0.5900
46	0.5805	0.8795	0.7772	0.5868
47	0.5773	0.8771	0.7764	0.5868
48	0.5765	0.8723	0.7748	0.5860
49	0.5741	0.8723	0.7700	0.5821
50	0.5726	0.8699	0.7684	0.5757
