# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 26838 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.4582	0.9996	0.7006	0.2786
2	0.1655	0.9991	0.5702	0.0698
3	0.0535	0.9984	0.4898	0.0222
4	0.0173	0.9976	0.4364	0.0094
5	0.0063	0.9968	0.3938	0.0056
6	0.0025	0.9961	0.3607	0.0039
7	0.0012	0.9953	0.3341	0.0026
8	0.0007	0.9947	0.3113	0.0021
9	0.0004	0.9937	0.2920	0.0019
10	0.0003	0.9923	0.2755	0.0016
11	0.0002	0.9908	0.2610	0.0015
12	0.0002	0.9893	0.2488	0.0013
13	0.0002	0.9880	0.2381	0.0010
14	0.0002	0.9863	0.2283	0.0009
15	0.0002	0.9849	0.2191	0.0009
16	0.0002	0.9832	0.2109	0.0008
17	0.0002	0.9814	0.2034	0.0007
18	0.0002	0.9795	0.1962	0.0007
19	0.0002	0.9772	0.1899	0.0006
20	0.0002	0.9747	0.1838	0.0006
21	0.0002	0.9723	0.1780	0.0005
22	0.0002	0.9698	0.1734	0.0005
23	0.0002	0.9669	0.1682	0.0005
24	0.0002	0.9645	0.1640	0.0005
25	0.0002	0.9620	0.1598	0.0005
26	0.0002	0.9589	0.1557	0.0005
27	0.0002	0.9561	0.1519	0.0005
28	0.0002	0.9535	0.1484	0.0005
29	0.0002	0.9504	0.1453	0.0004
30	0.0002	0.9479	0.1419	0.0004
31	0.0002	0.9444	0.1392	0.0004
32	0.0002	0.9408	0.1364	0.0004
33	0.0002	0.9373	0.1335	0.0004
34	0.0002	0.9339	0.1310	0.0004
35	0.0002	0.9304	0.1289	0.0004
36	0.0002	0.9266	0.1259	0.0004
37	0.0001	0.9228	0.1236	0.0004
38	0.0001	0.9184	0.1210	0.0004
39	0.0001	0.9145	0.1184	0.0004
40	0.0001	0.9110	0.1163	0.0004
41	0.0001	0.9075	0.1144	0.0004
42	0.0001	0.9034	0.1121	0.0004
43	0.0001	0.8986	0.1104	0.0003
44	0.0001	0.8944	0.1084	0.0003
45	0.0001	0.8900	0.1063	0.0003
46	0.0001	0.8854	0.1041	0.0003
47	0.0001	0.8811	0.1025	0.0003
48	0.0001	0.8769	0.1009	0.0003
49	0.0001	0.8718	0.0992	0.0003
50	0.0001	0.8669	0.0978	0.0003
