# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1272 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.8774	1.0000	0.9803	0.8357
2	0.8035	1.0000	0.9575	0.7877
3	0.7728	0.9992	0.9458	0.7744
4	0.7649	0.9984	0.9379	0.7712
5	0.7594	0.9984	0.9222	0.7673
6	0.7531	0.9984	0.9182	0.7657
7	0.7492	0.9984	0.9127	0.7642
8	0.7437	0.9984	0.9080	0.7626
9	0.7319	0.9984	0.9041	0.7610
10	0.7241	0.9976	0.8994	0.7594
11	0.7162	0.9969	0.8962	0.7571
12	0.7115	0.9969	0.8931	0.7563
13	0.7028	0.9961	0.8899	0.7555
14	0.6950	0.9945	0.8868	0.7539
15	0.6887	0.9945	0.8836	0.7531
16	0.6863	0.9937	0.8781	0.7508
17	0.6816	0.9937	0.8750	0.7500
18	0.6792	0.9937	0.8703	0.7484
19	0.6722	0.9937	0.8679	0.7437
20	0.6682	0.9929	0.8656	0.7398
21	0.6643	0.9921	0.8616	0.7374
22	0.6588	0.9914	0.8608	0.7319
23	0.6564	0.9914	0.8577	0.7272
24	0.6525	0.9914	0.8553	0.7256
25	0.6494	0.9906	0.8506	0.7201
26	0.6470	0.9882	0.8483	0.7186
27	0.6423	0.9874	0.8459	0.7154
28	0.6415	0.9866	0.8436	0.7123
29	0.6368	0.9866	0.8428	0.7091
30	0.6321	0.9851	0.8420	0.7068
31	0.6313	0.9835	0.8388	0.7036
32	0.6289	0.9835	0.8365	0.7020
33	0.6274	0.9827	0.8325	0.6989
34	0.6258	0.9803	0.8302	0.6942
35	0.6242	0.9780	0.8278	0.6918
36	0.6226	0.9764	0.8263	0.6887
37	0.6219	0.9756	0.8239	0.6863
38	0.6211	0.9756	0.8215	0.6816
39	0.6203	0.9741	0.8184	0.6785
40	0.6187	0.9733	0.8168	0.6777
41	0.6132	0.9725	0.8129	0.6737
42	0.6124	0.9725	0.8113	0.6706
43	0.6116	0.9686	0.8082	0.6682
44	0.6108	0.9678	0.8074	0.6627
45	0.6101	0.9662	0.8035	0.6627
46	0.6093	0.9638	0.8011	0.6627
47	0.6061	0.9638	0.7980	0.6604
48	0.6061	0.9638	0.7972	0.6557
49	0.6053	0.9638	0.7940	0.6525
50	0.6053	0.9631	0.7925	0.6502
