# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 297 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.4747	1.0000	0.9158	0.2963
2	0.1650	1.0000	0.8182	0.0909
3	0.0404	0.9966	0.7677	0.0370
4	0.0202	0.9933	0.7340	0.0269
5	0.0067	0.9933	0.6667	0.0101
6	0.0000	0.9933	0.6498	0.0034
7	0.0000	0.9933	0.6263	0.0034
8	0.0000	0.9933	0.6061	0.0034
9	0.0000	0.9933	0.5892	0.0000
10	0.0000	0.9899	0.5690	0.0000
11	0.0000	0.9865	0.5556	0.0000
12	0.0000	0.9865	0.5455	0.0000
13	0.0000	0.9832	0.5320	0.0000
14	0.0000	0.9764	0.5185	0.0000
15	0.0000	0.9764	0.5051	0.0000
16	0.0000	0.9764	0.4848	0.0000
17	0.0000	0.9764	0.4781	0.0000
18	0.0000	0.9764	0.4613	0.0000
19	0.0000	0.9764	0.4579	0.0000
20	0.0000	0.9731	0.4478	0.0000
21	0.0000	0.9697	0.4377	0.0000
22	0.0000	0.9663	0.4343	0.0000
23	0.0000	0.9663	0.4242	0.0000
24	0.0000	0.9663	0.4209	0.0000
25	0.0000	0.9630	0.4074	0.0000
26	0.0000	0.9562	0.4007	0.0000
27	0.0000	0.9529	0.3939	0.0000
28	0.0000	0.9495	0.3906	0.0000
29	0.0000	0.9495	0.3872	0.0000
30	0.0000	0.9428	0.3872	0.0000
31	0.0000	0.9360	0.3838	0.0000
32	0.0000	0.9360	0.3805	0.0000
33	0.0000	0.9327	0.3771	0.0000
34	0.0000	0.9226	0.3704	0.0000
35	0.0000	0.9125	0.3670	0.0000
36	0.0000	0.9057	0.3636	0.0000
37	0.0000	0.9057	0.3636	0.0000
38	0.0000	0.9057	0.3603	0.0000
39	0.0000	0.8990	0.3535	0.0000
40	0.0000	0.8956	0.3502	0.0000
41	0.0000	0.8923	0.3468	0.0000
42	0.0000	0.8923	0.3468	0.0000
43	0.0000	0.8754	0.3367	0.0000
44	0.0000	0.8721	0.3367	0.0000
45	0.0000	0.8721	0.3300	0.0000
46	0.0000	0.8653	0.3266	0.0000
47	0.0000	0.8653	0.3199	0.0000
48	0.0000	0.8653	0.3165	0.0000
49	0.0000	0.8653	0.3030	0.0000
50	0.0000	0.8620	0.2997	0.0000
