# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31311 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.5356	0.9997	0.7433	0.3817
2	0.2844	0.9992	0.6316	0.2026
3	0.1877	0.9987	0.5626	0.1618
4	0.1561	0.9979	0.5169	0.1507
5	0.1459	0.9972	0.4803	0.1474
6	0.1414	0.9966	0.4518	0.1458
7	0.1386	0.9960	0.4289	0.1445
8	0.1367	0.9955	0.4092	0.1438
9	0.1344	0.9946	0.3925	0.1435
10	0.1328	0.9934	0.3781	0.1429
11	0.1306	0.9921	0.3656	0.1424
12	0.1292	0.9908	0.3549	0.1419
13	0.1278	0.9897	0.3456	0.1413
14	0.1264	0.9882	0.3367	0.1407
15	0.1252	0.9870	0.3286	0.1399
16	0.1244	0.9855	0.3212	0.1392
17	0.1233	0.9839	0.3143	0.1387
18	0.1226	0.9823	0.3077	0.1381
19	0.1219	0.9803	0.3019	0.1374
20	0.1215	0.9781	0.2963	0.1366
21	0.1210	0.9760	0.2909	0.1359
22	0.1205	0.9739	0.2866	0.1352
23	0.1200	0.9713	0.2817	0.1343
24	0.1195	0.9693	0.2774	0.1336
25	0.1191	0.9670	0.2733	0.1330
26	0.1188	0.9643	0.2693	0.1323
27	0.1184	0.9619	0.2657	0.1317
28	0.1181	0.9597	0.2621	0.1310
29	0.1176	0.9570	0.2592	0.1303
30	0.1172	0.9548	0.2559	0.1296
31	0.1171	0.9518	0.2531	0.1292
32	0.1168	0.9488	0.2501	0.1286
33	0.1166	0.9458	0.2471	0.1281
34	0.1164	0.9428	0.2445	0.1274
35	0.1162	0.9397	0.2423	0.1267
36	0.1159	0.9364	0.2394	0.1261
37	0.1155	0.9331	0.2370	0.1256
38	0.1153	0.9293	0.2344	0.1248
39	0.1152	0.9259	0.2317	0.1241
40	0.1151	0.9229	0.2295	0.1236
41	0.1145	0.9199	0.2275	0.1230
42	0.1143	0.9163	0.2252	0.1224
43	0.1141	0.9121	0.2234	0.1219
44	0.1139	0.9083	0.2214	0.1213
45	0.1135	0.9046	0.2191	0.1208
46	0.1132	0.9005	0.2166	0.1205
47	0.1128	0.8968	0.2149	0.1200
48	0.1126	0.8932	0.2133	0.1194
49	0.1123	0.8888	0.2115	0.1188
50	0.1119	0.8847	0.2098	0.1181
